"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Austrália";0;1190015,68586372;79966,4184938261;6645967,8407355;89539,090924875;4813747,52040488;8619011,33324354;510377,72803;16,8875145992595;17,4274071475973;4368131,62;229231,14265;4368131,62;2375714,10629725;136320,571739485;174550,447707442;6921046300;3701405,31;2063382,73652905;118398,722142297;150745,585723873;81778,3413005152;417790,630234013;281146,58538;57046,9230650335;323515889,97955;210661,578010552;3952378338,04687
"Áustria";0;1396886,58571336;87264,5327217312;3324066,0581422;84433,9760503104;2117073,84368212;4468920,20968293;241901,59042;18,4741249609967;15,9319379576971;2016599;114458,04441;2016599;1263453,32962566;79303,1791223652;65170,8119854342;2565368000;1614444;1060155,0671389;66542,7564401679;54723,2095522333;26866,1186976348;255629,020664824;127443,54601;17794,4568510357;122240343,983568;138547,346557648;1393444013,31284
"Bélgica";0;2679487,1568232;158353,545406599;7431960,42251721;143071,539982875;5777701,56821394;5769435,11289731;328246,05384;17,5765558958085;28,679168391098;1884911;131121,05077;1884911;2546880,70168568;88805,9467748107;73505,1176534939;2366861664,9351;1667649;2322435,87215481;80979,8889731996;66895,801387211;29699,9164351893;281516,904779559;197125,00307;27406,1933944735;99417667,7966175;129139,331432354;1444185564,17439
"Bulgária";0;848979,693362425;7748,54576343256;502402,399208149;10131,9153397427;-506471,095867295;3379730,99634157;26073,34534;129,623987726523;73,9408736609181;2102112,99431195;10411,03378;2102112,99431195;379877,81611224;5137,5889586361;293,116135872852;2237328152,34152;1350133,38673964;288539,010408029;3902,29376692553;203,432015921324;4220,9641313639;20272,9004995207;15662,31156;2225,05888925903;204467054,030687;128037,186960354;2067088053,63304
"Brasil";0;8683111,18094283;74572,1989235579;5309243,79619078;52248,176003933;-1876209,2247979;71409236,6235374;591342,36155;120,757857489463;70,523669527827;43313478,0560573;259117,59537;43313478,0560573;7861958,23305715;111479,710084499;176748,75665146;74426934452,8493;36398648,4018056;7533259,13798842;106818,87639179;169488,386726505;116366,868585501;516446,374146246;332224,76618;57064,910971435;5011241313,48479;216883,257343754;2106907106,2464
"Canadá";0;4030697,45937221;288047,46308168;11686101,9645041;239637,2303662;10903115,7403627;14386924,1374676;846138,18764;17,0030431761918;17,2734807264066;6453041,95423217;394191,36501;6453041,95423217;3738860,6469604;216450,911439329;264692,842237382;10421254979,8562;5749524,48289634;3555471,37017056;205834,100635848;252167,625457293;157095,733110671;872179,283502943;451946,82263;93355,5435532706;393751936,83305;344066,77334047;3888163473,24105
"China";0;89756156,291863;416083,52620698;25758948,8865516;394032,495411891;-62517863,5466992;1113505787,29601;3498557,94729;318,275645014979;392,609231511826;568576499,150186;1143537,08684;568576499,150186;224272334,105333;571235,50875695;4280606,62645674;0;0;224272334,105333;571235,50875695;4280606,62645674;555656,10256305;1846148,51106249;2355020,86045;260140,105857181;33309992880,0761;203745,112754963;1624199739,15995
"Chipre";0;76670,8184572465;1795,23452723289;320751,750226196;4462,56519773145;65136,9502853798;327528,475633584;8729,17996;37,5211047468867;22,2894912476149;131800;4381,26232;131800;68619,5984459879;3078,56279372597;2130,14940487853;169640000;95500;49736,0605917536;2231,36813843051;1541,80646652178;1174,26870627403;7578,31480005711;4347,91764;770,516235445789;17428851,2077828;136402,468287007;2405251449,22537
"Tchéquia";0;1751725,81771791;48283,6452949503;2106935,47134686;48928,9313373933;311919,16291189;5828987,64479882;143815,07274;40,5311316383152;29,8945504735084;2879327;48306,64066;2879327;842655,832033562;28187,6067271959;525927,481103165;4490760000;2452656;698166,992586139;23354,3231635088;437201,750572404;15538,0220628041;134287,209566976;95508,43208;11705,7695645562;260689424,858702;130089,245209189;2130798129,02927
"Alemanha";0;11769938,4191639;770129,402730132;34074907,6367003;586376,215001237;34632472,2849983;40655629,871859;2295442,26172;17,711458288389;19,449108608345;18470000;1045163,6414;18470000;14814632,3185923;761712,663388377;655889,366594041;23569127659,5745;16793000;13308962,5498695;684296,78798539;587170,664592092;199320,882751623;1751340,43092141;1250278,62032;190578,019944989;1193905911,75886;123003,029075627;2195621291,05983
"Dinamarca";0;1283543,67453587;76582,2644734794;3032734,84942652;51423,6788408891;3437012,46056183;3409006,02712027;194239,31276;17,5505461725577;18,3795257739487;1444655;95922,88587;1444655;1195950,79440018;65069,7308031382;360207,10759161;2096055000;1349386;1115203,86183447;60676,421989906;331821,169522318;22640,8878968618;163413,733863676;98316,42689;13846,0117379744;67209049,0834726;112705,376521115;1356211750,30855
"Espanha";0;3398826,71318453;169513,943775877;12880911,3091167;205249,907054812;7084655,72743418;21027617,625422;981671,14967;21,4202257369901;20,5598802011758;8971800;399049,0842;8971800;5139494,2469232;249976,857677861;174285,037222862;12761170200;7644000;4536203,78565981;220633,765434119;153430,322398114;119623,499682139;677333,080890945;582622,06547;62143,2041563881;541532852,693295;143839,686117779;1731740611,56994
"Estônia";0;318103,213525397;4712,2325130704;570479,8977071;5937,84419884115;170153,719766266;821884,764293282;12008,24984;68,4433431386102;55,3469177059648;353203,061838695;4500,31454;353203,061838695;138086,906988357;2494,93400376793;1318,0476295221;611477030,921457;324404,231264489;126195,116288321;2280,0748717163;1191,03824146848;1494,67284623207;8389,16719773018;7507,9353;850,440329408457;30898724,5998034;123967,115653138;2526249085,10999
"Finlândia";0;878062,757103051;55748,7448592241;1933186,51566587;38351,4157340784;2222263,39192959;3271856,14859024;184292,83406;17,7535722714266;14,4007397792609;1327700;83561,62726;1327700;775473,955066547;53849,5915455217;42829,1684503207;1846200000;1156300;660629,369677482;45874,6828151759;36905,4403168251;22657,9858944783;154664,790010094;100731,2068;14091,2805423012;83541045,7967513;123581,821522078;2079477471,41286
"França";0;5433070,2769925;384239,703196214;19974413,2249638;354382,385995417;16544389,3926515;25357217,6761733;1578339,56787;16,0657555524591;16,9162233941565;11624074,5762712;702306,53211;11624074,5762712;7861647,52576618;464740,110282647;378089,139291888;14753512181,3765;10340974,1087084;7164199,45268357;423510,572410528;345214,221296533;186503,019497353;1213060,032672;876033,03576;113263,325914784;519771993,496114;142527,861517495;1780224273,40889
"Reino Unido";0;4576737,07151209;330386,526331043;22072385,2129452;379386,610918473;14208365,3436586;24610007,7382698;1527596,35804;16,1102817565276;16,4999211418368;13072882,2590169;721200,54239;13072882,2590169;8674331,20474331;525719,55527405;265830,752277324;17270900866,2788;11109841,320657;7440369,04413555;450933,612359513;229996,757022625;145749,20199595;888537,024447936;806395,81565;74133,4898893195;557371824,78085;149645,370599335;2346238279,99026
"Grécia";0;372717,867911598;20534,5125615772;2552114,43941128;47485,4387319889;371332,019570022;4235736,33021247;147986,15053;28,6225184927274;19,6335588648929;2165334;72578,72508;2165334;886208,898903881;45137,4559753671;26652,414033393;2480628714;1270553;582262,391833051;29656,4874376497;17470,2880497189;22694,0213846329;139574,360459919;75407,42545;16302,7663063004;164075655,318085;134630,000252625;2035512124,94598
"Hungria";0;1351913,21580682;37757,9947985278;1727003,53676225;42864,6831805989;32496,4455913076;4691604,13028617;105788,29544;44,3489906966798;31,7300693998128;2586809;39268,14889;2586809;733274,524471246;23109,7674332717;2537965,03877008;4266644513,84187;2214715;638965,185901487;20137,5287854005;2192206,14227609;11315,5764467283;92567,8883085976;66520,14655;11958,2206448557;253256182,674862;142905,999369844;2470739760,23809
"Indonésia";0;12740356,9810441;69126,9265025495;5434522,23620536;47521,7283969178;-5856400,5923644;110649730,961314;333202,07716;332,079955516546;262,586619730918;68722788,4773216;156518,51239;68722788,4773216;16994089,1778098;64718,031692644;170974775,101912;45322479870,5667;24337619,8306135;11314553,8670298;43088,8438970129;113010642,798479;89853,689697356;239020,610968554;176683,56477;17896,5322584293;3077479172,92305;203356,124171947;10576333706,5567
"Índia";0;37300671,2849568;68374,6084894925;8565801,39638558;82874,3538908284;-29707618,4875022;555482497,753273;861257,97707;644,966447385514;694,704086749752;365685324,946837;365442,17349;365685324,946837;117852273,79852;169643,846993768;5307223,97364512;378845928208,547;164266589,373881;73142057,4198374;105285,198136721;3245104,06776409;164997,536926232;808343,442363596;495815,80358;73940,5834931381;59971171716,5699;182450,84774381;2419645100,58262
"Irlanda";0;861392,164178706;89375,7045159978;1587055,70648101;46022,9389026833;3634083,02436091;2412638,04544495;190055,39239;12,6943940664106;12,0456654619466;955253,096049102;79839,40922;955253,096049102;499045,218554029;41429,4436559408;23713,5446841546;1414922314,22811;757432,950719634;403250,785107852;33476,8374882866;18267,1473067564;32702,6464740592;74693,6283897994;110215,98317;21468,7299126031;83886064,4295419;159751,287624184;2065257056,9502
"Itália";0;5190446,73263527;295311,99511594;17818649,3335832;286128,727098599;13244283,1492762;28301828,269377;1566634,90138;18,0653630558382;15,9010065044939;11741600;642678,43465;11741600;6906270,91140313;434329,167116012;309581,042787112;14491183654,6917;9207900;5190682,9596699;326437,383583418;231567,638932075;163706,088253988;1415839,40022314;923956,46673;116896,570463004;813822310,964844;135464,816592331;1966530778,44447
"Japão";0;5925190,3755024;441527,253412124;40929277,5091885;360889,965883631;40413824,0838059;71985367,7316678;4135179,24855;17,4080404753698;14,8131331096864;30753728,1889569;1812671,42509;30753728,1889569;16750784,3199582;1130806,30518366;145632481,785377;48986811945,5921;25158971,3857044;15054183,7260082;1016272,76380607;131132833,662185;670029,363416345;4831791,65495073;2322507,82346;444339,814348905;2462135430,72405;203512,545344695;6960665820,58246
"Coreia do Sul";0;6201371,53736168;205520,971388364;14317288,8974222;171305,288815796;10411354,7186273;32841559,7324395;919882,28614;35,7019155899271;29,0608977157878;10999018,3052015;342422,1907;10999018,3052015;7326674,31345338;252114,521206723;245806652,471396;16732707224,8983;6959635,02088591;4840848,39327703;166576,010163897;164825585,367838;55105,0384232772;755450,921498188;577460,09544;101457,947029815;1270936281,34823;259569,573976984;9174588162,21684
"Lituânia";0;406696,759525595;5923,73174095318;598824,614293355;8335,29624927211;30342,5315245806;1551506,67529568;19233,23271;80,6680134686357;61,2521022257222;952900;8990,73719;952900;300679,344294663;4908,88203618904;11691,4370120453;1298518470,79038;724000;255710,472988056;4174,72158009743;9178,22854669776;3571,53454381096;14989,6529663122;10242,49552;1575,79367245246;80318521,4615025;105067,690370175;2226869961,00032
"Luxemburgo";0;119542,562386383;9307,41699867057;258592,906601633;10637,0156163763;49851,1785254398;242205,227326463;19196,01084;12,6174771073667;11,0006938030733;125200;9168,65862;125200;65839,1321276734;5984,99815614171;4795,40789637106;193001681,281069;118200;62508,6218099991;5682,24358653957;4575,32208926894;2479,65792385829;17938,591458429;10027,35222;2050,48222559832;10048957,9852364;95539,4192773216;816504590,568053
"Letônia";0;217540,105242444;2866,80057044257;262940,789989347;4755,30457472532;-81293,9277027991;919393,378610792;11262,52067;81,6330025533079;49,3457203721417;574200;4372,16652;574200;124657,72230946;2526,21141953853;1088,68880266069;699882188,293198;475300;110964,841417335;2248,72269733813;946,683926490625;1367,43135046147;9679,20681003996;6890,35415;1067,41506211516;43602505,1069695;81252,5615120104;1160789471,18708
