"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41"
"Austrália";0;24225,2628049575;18797,199197103;-1327,81387373842;-23503,881725712;-57307,6775924781;-3030137,61220364;-540,952197271124;768,338719845975;232445,00913386;26415,2596191676;26947,8317248199;25,0272039950215;7606,56601187668;77185,9029310998;85944,7879141036;600,629771224631;8568,18377210269;-322298,065641495;-718383,471829001;41725,9880490775;104935,66003343;-655333,129615959;-412483,26866746;556,542196382299;1208,53261190751;11,1896705461365;-9721,98672040199;44,9589874498357;34165,5229376741;55,9657726259084;2375,89454335011;-1380,78409792547;-17388,3223691583;1160,04943531673;685,816614430592;48037,5567785927;-13,9590416680667;-171607,286540676;242352,612424115;-3025258,19297473
"Áustria";-24225,2628049575;0;14331,1029268184;-20088,5148098776;-34351,9768922702;-14148,093524437;-376600,366123115;-64,0087287674114;-8651,34430559227;387553,773485074;889,907287536153;-14350,4252293582;-890,285033788367;2575,98345366638;-14942,6844312593;-57583,9605839666;-24220,655762166;-85700,0152645147;-30146,3305760666;-123691,033678638;9161,74525647812;-57605,4132841621;-138,004425326988;-17909,9497345648;-1372,97564912313;1960,77908473721;-957,713451126805;-13548,0847069817;-412,550984487372;24549,8969582275;-40493,9139724719;-5171,78603165344;-74078,6276008607;-45516,1774025954;18444,5457418175;-22895,3433672851;-14062,1947060697;-11304,7960663835;-3907,20025637479;-97722,3785465844;-1418824,73862494
"Bélgica";-18797,199197103;-14331,1029268184;0;-3875,51004389477;-76238,1288518307;36488,2281898868;-533427,694725377;-5453,25378099684;11792,4003597624;67258,0310547436;-36805,8743671041;-50650,7179914031;-2044,83890925798;734,535039342736;-61665,3918631326;-295501,500148558;-67362,2512492111;-35678,5083343294;-98840,3578595261;-747153,788389156;174284,052363826;-217999,625388796;100329,558632398;19156,6391763716;-7306,91780542921;-88586,9570034874;-2799,42247084041;-18324,7361911587;-1368,35749346988;304154,61793728;-36084,6705786022;-30063,5379477602;-30911,4106840152;-30368,1910987078;-2754,02065065546;-5699,55996133823;-18195,8879733091;-35076,7815746161;-6731,58793701174;-85531,9525968526;-3131515,42286167
"Bulgária";1327,81387373842;20088,5148098776;3875,51004389477;0;-2089,94060193247;2173,93061484041;-31305,8862497352;3089,93219461115;16806,3976255142;105609,46407534;5304,98185766058;46613,5215663452;54,1352674389489;4078,92050989967;44607,9783897154;17083,2728859132;71106,2179299109;11738,5247379751;-1567,79149251646;-15345,0304055439;2836,48892404327;61392,0345943153;7850,69575564716;3989,99094704827;870,77780899708;364,301825155252;19,1011900968846;706,886487846351;1276,14942914081;16240,6562181051;11587,6999285823;5754,5612439981;32270,1828346423;61472,7178442002;5015,16029248623;4204,2387745625;5336,21044645227;49637,4377001867;1839,49319213284;21318,6878389143;-229691,949097336
"Brasil";23503,881725712;34351,9768922702;76238,1288518307;2089,94060193247;0;125662,13985735;-210862,519394789;312,199473221536;10567,5900935491;516446,159953275;15871,4739576266;146745,615709923;842,100621716698;46651,8986153091;180804,778364928;132977,342492191;18380,2182193179;3566,68864854044;-56967,461857487;-193405,690487663;16577,6479982086;177230,01373213;178046,791341484;122103,279465619;1043,21167822424;932,608549774504;156,073346899378;-17962,1317768708;925,025089165038;124191,976895816;835,455097486585;23601,6481041315;7414,68846780677;98718,5663600234;2577,48767598813;3039,58350740116;41017,1397963854;20966,4133984037;67219,2544224432;459764,681038593;-2365013,96101832
"Canadá";57307,6775924781;14148,093524437;-36488,2281898868;-2173,93061484041;-125662,13985735;0;-2303701,11521102;-696,991198761551;-2566,43614280559;131881,227108018;14326,4318032546;9116,74490914519;-1027,00220385572;11427,2279113244;76688,8219725766;-16080,6771695442;-5021,75069181825;-2138,90891757589;-102128,747224912;-844972,560730602;26752,7357213216;91848,7236435064;31788,166241486;1077,00264897119;1939,22408412873;1221,65708210987;-421,686737006163;-161554,62663694;-3248,12241927826;11025,4965171576;6869,11290558515;2797,05024223789;-8905,79791977401;-28135,8062643966;3424,19959318156;323,319935135864;36526,8109865555;-10719,8769920981;-8,74158122255176;-1858447,22014347;-4201696,63342605
"China";3030137,61220364;376600,366123115;533427,694725377;31305,8862497352;210862,519394789;2303701,11521102;0;13363,0556848762;226402,388396645;5233243,55439905;277843,294520393;1048624,74932274;23704,933149664;311935,25136022;2028498,03917047;2046157,29402753;153790,926367782;98290,1961348685;525725,077488636;1384548,40252643;215316,539429352;1614209,3197031;9735816,53944009;4159345,25198522;18639,9421946369;25445,9104265663;9450,28152012829;578163,825927326;14504,3624213936;977928,333528138;501322,328804959;80138,3166572499;69082,286649375;2614407,10470064;98559,8155331218;43852,7997226532;411285,17016409;1228641,05428946;2351618,42471584;13612846,1955737;-2843532,11033417
"Chipre";540,952197271124;64,0087287674114;5453,25378099684;-3089,93219461115;-312,199473221536;696,991198761551;-13363,0556848762;0;4163,26114116528;14302,4028714519;2865,11460725127;9517,6961206377;-104,789083814445;2829,97886892293;11217,3628116966;18679,0766846648;8503,65385290628;2147,8713829873;-787,399431297438;-13523,3528359252;1104,45144182085;22799,2148877812;3141,50427387765;640,991233322857;-95,8963505788366;165,854533414134;-431,662573978955;542,525315933134;10,2449977532754;4708,07160422079;-96,5095769178852;641,961219802682;-4919,68708583953;-3018,61932211831;-281,966403067607;143,572915700456;1407,39968923338;-607,691254802907;508,53627661526;8847,0970021004;-112379,318227718
"Tchéquia";-768,338719845975;8651,34430559227;-11792,4003597624;-16806,3976255142;-10567,5900935491;2566,43614280559;-226402,388396645;-4163,26114116528;0;76512,9668948012;8621,86073835287;2237,26530639175;-1754,88353216234;-3103,41525901134;-874,654249939515;-51300,9830772738;-8066,38402682714;-15391,7933604613;-22640,3427606451;-83593,5735095516;24241,0146246097;33189,0716502589;67349,6868042895;16921,5392566088;-4338,58034792697;2030,83372367409;-2224,92955214503;-5239,82951774433;40,404397306744;26159,499105386;-6969,89961068521;-1025,26040504671;-26086,1990771525;-44924,9317776127;-14412,4579097288;1972,00034806364;-3687,87274295246;-21328,551425034;12596,3923441573;17155,472413408;-731841,102205201
"Alemanha";-232445,00913386;-387553,773485074;-67258,0310547436;-105609,46407534;-516446,159953275;-131881,227108018;-5233243,55439905;-14302,4028714518;-76512,9668948012;0;-83868,1102959532;-468519,449399396;-19556,0055897667;-70938,4291103645;-737741,337118102;-651864,625878712;-230507,929453879;-144414,877919144;-450710,910654239;-1769301,57815072;429338,246335436;-652123,713063542;94800,9048943896;-108182,456558566;-34347,7116326002;-12368,6737234711;-25122,3295411946;-299314,478870465;-6918,56687202484;192398,638633199;-513629,457819815;-143392,744254817;-288368,561788914;-483857,247421632;-43375,0987110895;-17809,4507810129;-182194,753978452;-268111,987232971;-99203,747960763;-1038686,81986118;-17408967,7854107
