"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Australia";0;1305077,50834242;76016,787520943;7428198,60127129;89705,953478912;5185396,99011663;10280835,0492651;547982,647223025;18,7612419870676;10,6994730042657;4396013;226522,854845215;4396013;1446840,03717673;135225,355174026;278028,347715338;6860657000;3751142;1249810,88832191;116810,509061861;242191,975613076;84313,5747217468;468940,125127441;321459,79237781;61051,5171569999;0;165806,299470629;0
"Austria";0;1223943,87977997;80084,9843806297;2478370,12638308;77514,2128457292;1430527,14555499;4058936,2745807;247012,33872;16,4321195273638;8,09851907654752;1881610;117457,588459588;1881610;582673,96196328;71948,211328;74277,9678800588;2631796000;1591210;523897,248321397;64690,5;67425,6272477883;40649,626752;299756,80112;129554,750260412;13053,5598211301;0;100689,849046851;0
"Belgium";0;2466680,63038345;152385,630319049;6731583,04964497;129884,679186362;5806244,25689465;5410302,68362477;324448,06912;16,6754041665254;11,5717528897806;1874100;138369,613383837;1874100;987874,928660331;85369,51472;86010,5246054717;2347603000;1660200;930843,252009134;80440,98944;81094,5374323122;37555,16128;288823,2293744;186078,455736163;20367,0921047856;0;108274,341671901;0
"Bulgaria";0;344536,802043569;2797,52085972475;483170,071318322;7578,66599632974;-188880,842790494;3471815,74138622;26292,8206135915;132,044248595814;86,8830434691445;2181840;10168,6763337077;2181840;476077,521713453;5479,52169611239;14215,7952687064;2334521000;1409520;343530,03777532;3953,93651118265;10881,4103388844;3925,80564117782;19057,5399188408;16124,1442798838;1813,94117902305;0;90841,7255027213;0
"Brazil";0;9887243,07235766;81024,266288716;6809901,14671938;61912,0982980073;-1768135,75216421;73029926,1040588;614400,901028962;118,863637702602;67,512773739585;43687826;262243,548407601;43687826;7903089,66291196;117060,657193501;633677,805595362;74818406000;35743443;7185696,40184563;106434,619758963;582009,19328785;110014,547733209;531932,624275412;352157,352621361;52669,5817968497;0;166574,15137582;0
"Canada";0;4319090,29216985;265427,102798769;11103086,8912351;239295,136315069;8574067,29445209;13691738,2171017;798550,829347467;17,1457316352547;10,4931715055104;6784539;385824,258776906;6784539;2690426,83573503;256397,871160515;425687,574142651;10590257000;5990363;2208786,50460559;210497,512925018;350324,311031807;120346,218523329;492703,577148231;412726,570570561;47435,5042844611;0;274521,778678025;0
"Switzerland";0;1075991,68878816;88449,094115627;3272573,20011747;87783,0090242056;2242209,1300365;4769192,40915576;336393,850460085;14,1774066399637;7,83502977155333;1920625;150155,047244443;1920625;811237,870831998;103539,858109712;153611,689017931;2854886000;1614812;745088,107448855;95097,0358981977;141236,495364859;40698,6806758681;304091,616708928;186238,803215642;26125,4803518313;0;102120,275187116;0
"China, People's Republic of";0;86434907,7627246;403265,642582482;31013802,4320002;371397,973420467;-53238132,199606;1048863389,86102;3503466,47863473;299,378742812962;368,937566968981;550876526;1150395,4735705;550876526;212760351,525666;576683,890647422;7735872,22644544;0;0;212760351,525666;576683,890647422;7735872,22644544;552565,068006513;2409075,22552917;2353071,00506423;206585,04319349;0;148933,127990629;0
"Cyprus";0;36988,1383992407;2902,13208183913;358400,607460043;5000,46414991453;177674,23387689;350382,517404851;11338,5832;30,9017900406508;22,7253749802967;133900;5191,43756314192;133900;68852,7191365484;3029,77263064943;3259,44616854777;170821000;97170;51536,7688934127;2267,80719517702;2460,71678179813;1953,13073032589;8766,37588080988;6147,14563685808;2114,704300747;0;91726,4681555065;0
"Czech Republic";0;1357743,18492216;38835,9682239826;1403215,70028635;37649,5126992813;126746,125885321;5435623,11578824;139351,8991068;39,0064516567683;18,9245865447778;2813560;50148,3376674114;2813560;499787,221528765;26409,412979576;882151,436005211;4144270000;2451810;439544,632061213;23226,1154568;775837,561790796;20351,420373172;169805,5008248;89203,5614393886;10099,7700437304;0;99345,4369268585;0
"Germany";0;9538293,82303604;687204,829427063;25805256,5963489;522907,614215331;27521516,8638989;38511945,6031081;2317896,672;16,6150398627899;9,89784888083224;18473000;1024914,93926937;18473000;7283602,04893164;735877,2736;718392,434168197;2,3522e+10;16773000;6734158,82228003;680365,896;664704,679589665;246869,6944;2130387,8288;1292981,73273063;154095,763980172;0;85442,5117793183;0
"Denmark";0;1226172,50802075;70338,5160799019;2775066,25096723;50536,1788736438;2905377,32619313;3609529,15352797;197618,018947;18,2651823591857;7,78068804888737;1428000;96435,3997191258;1428000;488259,895838738;62752,791626;485019,036806079;1952530000;1329000;460314,83789193;59161,199498;458860,3558157;28530,618717;222562,82469;101182,619227874;15353,6635031763;0;84845,2680466188;0
"Spain";0;2813821,62486065;151757,797216733;11254422,1422962;182028,302126591;6367035,03174973;20579143,7110886;1036328,5184;19,857741387703;10,628374108454;8775300;423381,585641369;8775300;2620075,95612901;246517,09936;267820,524440354;13340880000;7553600;2365753,70569373;222588,4864;242505,126299928;143228,81104;827339,499392;612946,932758631;46509,5528509409;0;103488,482707612;0
"Estonia";0;195205,765345795;3213,76012380109;381201,78598972;4863,14429664206;73011,2487141477;696274,729880794;11077,2216935205;62,8564408246948;31,9660870554942;359900;4386,64587042868;359900;75552,1301295584;2363,50886482907;2986,02056334429;644167000;329300;72196,5339190162;2258,53523434634;2871,29901375273;1703,21442233091;6729,91042715504;6690,57582309178;564,259710708729;0;73948,5628140893;0
"Finland";0;870525,468742259;54616,9492242928;1822644,71488894;38160,8561580665;2079381,13731681;3386035,18990173;186164,9776;18,1883576253374;8,52411079823204;1318500;84857,0204493097;1318500;432095,658193591;50690,99504;52866,7551691824;1834600000;1148300;388273,505992438;45550,0304;48094,0536701274;30334,48544;145244,9488;101307,95715069;13130,0478061577;0;93656,5831669322;0
"France";0;4809463,32417028;347898,813447188;18676072,3334954;354562,825156537;13410116,3040378;25325358,5174543;1535493,1424;16,4933061686426;9,10397226853424;11991000;697716,443623049;11991000;4202813,41609101;461646,1136;468415,747036883;14736166000;10719000;3845049,62305107;422348,56496;429517,14844139;204112,25744;845654,5006784;837776,698776951;62228,7939403895;0;100439,667002349;0
"United Kingdom of Great Britain and Northern Ireland";0;3751424,01969256;302148,257245382;21857149,4758245;347811,860422248;14977714,4836831;22922046,4127459;1554653,60325;14,7441503141455;8,34612296007273;11817000;763411,592666919;11817000;4348340,07637699;521001,19986;395299,496893817;16897788000;10223000;3779784,01942366;452879,02389;344557,447750355;187043,84028;1509889,84332;791242,010583081;56734,4880706838;0;114401,332444407;0
"Greece";0;311029,865348501;19158,2073882548;2428523,24074737;43313,4186192202;462832,759160875;3721781,82149786;158905,120809628;23,4214089674092;15,5346285977499;2141210;82710,1956241825;2141210;668492,243389008;43032,393029714;46058,6038594203;2433950900;1282170;454044,484780146;29227,8944374577;33215,773546478;36390,3737824506;103405,865990736;76194,9251854453;13890,5243673671;0;96899,4102263106;0
"Croatia";0;423836,074324488;9874,50685767065;565435,638503689;12261,8682569749;-21937,5229687511;1455148,60420677;33137,5256302935;43,9124097689574;27,260330305467;948870;14533,1798948941;948870;308736,485194247;11325,4858519572;99308,8544134164;1364665000;707560;225334,457725312;8266,02081487332;73767,0333596018;1954,45751676828;26552,2304038692;18604,3457353993;1976,3031643167;0;77644,5136806975;0
