"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44"
"Australia";0;29063,8789506233;11086,7561847434;-1337,55016364982;-47881,4383983841;29581,1284843917;52126,2330038472;-2365179,40930268;2,6795078347846;2945,73124451405;229995,938976842;18476,0746211013;20750,410729759;68,0763390062795;3059,12124328749;78777,9883424004;87933,3919667671;-88,3505705023758;166,48118587137;4899,91082891322;-282318,87537717;-503015,056048717;40741,9236350944;77860,3588128816;-1120681,21930537;-417746,897442225;353,439032854753;494,791057335855;-116,668703244301;1362,90284821665;-144,270466988198;1576,36974929269;6292,46930330434;4943,54511154329;2146,88850627594;-4194,06768702316;-10610,0808437117;4222,64107756378;533,039780786759;52604,8115082051;-21494,1278792413;-160733,352728097;245750,289125578;-3764954,71367091
"Austria";-29063,8789506233;0;14051,5218961853;-32388,9704025674;-24043,8913098062;-30999,2993531987;-52389,6310906581;-262910,991786264;-1264,32557389802;-17898,9667301502;499951,342472608;-13521,5703391691;-42550,1494730185;-3082,58110025147;-1393,23201738399;-29311,7595514809;-45737,3796979082;-26042,2588493134;-21501,7462287908;-89735,9758311852;-21857,0652699025;-68063,3990682814;6313,60399002028;-39707,7420127305;-10870,4985031706;-17188,4561544154;-3476,35478658983;1046,77568347358;-4518,84882521333;-18981,6539565337;-1168,89151393424;29627,8996070761;15144,1431057189;-50079,9320317295;-5636,05841171552;-80623,1023862942;-37583,023321687;-8291,63219404664;-38694,0016803625;-15842,755110473;-32144,4769019336;-5707,79120409395;-124982,621382118;-948583,355351982
"Belgium";-11086,7561847434;-14051,5218961853;0;-1757,9454435631;-99823,5725184441;27380,1638385014;-20650,3186158659;-672385,719095718;-3700,24610332365;259,989643086708;-179108,281169748;-38150,2890334018;-47915,5093671306;-3331,0009834645;-12055,8838155235;-282730,532790049;-9097,77900577197;-45565,6322476825;-1855,54256729504;-9758,39191314419;-117722,925432013;-313360,106957854;123221,492308251;-131627,398044958;76931,6730883466;7584,41318937459;-9986,49823072951;-104369,313865732;-4021,37490567253;-6526,83479004804;-836,162231588276;496395,424401736;64245,552189786;-55379,815882071;-31099,9863455319;-24852,7220455632;-47303,4926266927;-6518,53618248818;-4711,00327491611;24489,9300031089;-67706,5719307821;-4350,89990230779;-37392,9954570921;-3689082,58857739
"Bulgaria";1337,55016364982;32388,9704025674;1757,94544356311;0;-1974,48935589254;2992,64772958637;11261,2616538185;-59230,4759166502;3724,61146885716;14554,3949481327;117327,436291049;6280,57641057804;22679,2395506184;107,618085390813;5503,52690317788;46090,0272232725;24303,071208793;69164,1639984215;1560,69719777718;17668,6487363696;-15829,3712355523;-10924,0472205988;3657,69447135226;93460,6522564395;4047,93037760989;3724,75916847322;584,404842678846;429,007708063544;396,970046665902;1161,61300122432;707,715825951229;13884,4881377549;1623,86945445174;15118,3724085224;2057,78816305019;35501,8312468757;90434,1889986342;5995,64649354806;5186,15666298248;8203,71181903721;42070,9968937289;1583,49818321204;19801,602409199;-130522,203907059
"Brazil";47881,4383983841;24043,8913098062;99823,5725184441;1974,48935589254;0;66170,8404624448;81481,3891179557;-331096,676813549;438,112868209976;9077,89045916833;475758,878313705;12953,2628605399;175323,273969553;844,668944177712;30600,9902721354;224255,728137759;169061,584002614;19291,3825017866;9668,00438248846;3468,05122754189;-133882,364651691;-179257,70294994;18531,9814455034;234177,200358773;169549,203835545;123952,772549261;2400,26778170621;-1021,85088367763;876,936719008987;14479,5273752665;1263,53180869191;260527,064831082;32583,3603936135;17804,9991406327;47633,7714128536;10316,4050261691;153330,628338315;2522,06060537829;15242,8105407128;50302,0012813537;14593,1272565395;36476,5275971052;605776,734236829;-3579836,77966544
"Canada";-29581,1284843917;30999,2993531987;-27380,1638385014;-2992,64772958637;-66170,8404624448;0;37467,1370523267;-2252327,35566698;0,24379542130697;-239,547285208517;160569,595129149;12269,8589657277;-2104,93576398444;-462,9218404041;-5742,4572014715;40766,6752946023;99946,1259145585;-4760,23068216795;-2929,53057650811;-1200,90956848968;-135369,465202621;-335080,702201283;34923,7017484792;70935,9184739453;-17139,6845856776;-14528,917192985;5886,85179914421;-2131,42125319603;-887,664608165883;47459,5567074831;-462,545762421051;1583,31857285019;167444,995709761;712,564096661667;-1108,61840954447;-9513,24353179624;-16957,9489528958;1448,54754405742;641,417453595763;41885,4570367193;-16810,3646706051;1392,27508244796;-2963993,40291574;-3586265,25319618
"Switzerland";-52126,2330038472;52389,6310906581;20650,3186158659;-11261,2616538185;-81481,3891179557;-37467,1370523267;0;-402778,884138846;-3396,1214171243;-4858,2846276427;291955,463312192;-13312,2768885603;-57858,800464977;-1150,56604379316;7831,00578936773;-39407,9155682483;-26303,2961607312;-44422,9061076966;-5893,25624641381;-8421,8073305109;-22565,3733635823;-156842,698340805;124498,701457963;72726,4655924314;-84383,2241389437;-38572,1447106793;-1040,30807459107;828,463757985972;-3122,28021623604;-36430,8652050837;-1140,03620867487;51526,5859084176;-8539,96339015386;-31920,9779186523;-15361,0608547624;-19720,566986321;-14501,8551965206;-5429,18588298638;-4686,29457737751;-944,941615660791;-56361,5815737032;-35185,8148456731;-187279,154706922;-1816016,98864246
"China, People's Republic of";2365179,40930268;262910,991786264;672385,719095718;59230,4759166502;331096,676813549;2252327,35566698;402778,884138846;0;29556,0998764353;205040,460298197;4863228,67441104;363275,302826852;1223409,41188147;29473,6130900751;343261,004363701;2220940,12498561;2693117,50694902;248325,381728421;99586,068244061;140243,121193016;48092,4359747452;-974085,682075358;250401,726935385;1951685,47554008;10808819,0661151;4642730,25709016;36888,4518327953;20612,1114826743;28688,3705527081;861133,152702133;11409,9413201357;1010359,96885142;300537,187446942;487628,896176684;107101,346499163;120374,250948194;4443462,66194592;84575,8866311947;50784,6045223771;423612,170425158;478159,098405317;1948269,89660983;14331337,5077463;58392,4861984588
"Cyprus";-2,67950783478466;1264,32557389802;3700,24610332365;-3724,61146885716;-438,112868209976;-0,24379542130697;3396,1214171243;-29556,0998764353;0;-2164,87476784126;21682,3868291569;952,350748677533;9777,12569293305;-4237,04221439063;-394,637565296428;9902,69464391892;20097,6666191264;17115,117453651;166,711253241709;-6415,75307961699;-1629,09062514893;-14546,3297473295;-783,661695255099;26867,5573831198;6146,49824461616;7291,24044516036;193,39027166637;-761,497562776776;92,0388064162609;57,8341572094117;-2890,84187803965;1446,02295795486;644,458440273565;263,683286348073;851,260953616195;-3269,96766533741;3414,68635194682;-264,569370095718;-203,194998148223;1357,51881591202;5910,4832429909;70,9140882936625;-14620,8255198404;-158271,62550876
"Czech Republic";-2945,73124451405;17898,9667301501;-259,989643086708;-14554,3949481327;-9077,89045916833;239,547285208517;4858,2846276427;-205040,460298197;2164,87476784126;0;126285,571763041;-7196,15957125236;-8449,00941215879;-2587,79160405542;1158,09914962542;-19083,6202554889;-40634,505131898;-6351,87031248892;-9599,65029850722;-6044,64745216581;-15058,9438730766;-36853,6255022729;11845,9847207599;10997,7708787882;60696,3577437158;14817,6147881893;-6082,30117502842;485,971456853476;-3484,48983692229;-4271,79351200865;-95,2629452535692;28705,9520142942;23372,6536621114;-37904,1060160256;-5800,50880656746;-30712,2903175141;48870,1446575532;-69870,5205109973;1,03550451136471;-19363,2316002021;-11399,8120872707;9390,11453369465;-13279,9400694316;-537553,707279708
