"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Austrália";0;2964214486,17121;169133,651951358;15918181446,8125;177836,02107859;12310923253,6006;19321022180,91;908850,36449;21258,7494441419;21502,0170573964;9083497170,11503;406397,86398;4859214,64357534;5172722843,27264;240569,190763119;202844,910613933;7678087922,15444;4133393,04204646;4486518764,94708;208655,716018222;174019,739449816;146865,490596881;712687,347446374;502452,50051;140149,275110115;333893836,001745;342333,908362916;15044124080,0045
"Áustria";0;3203653825,98654;157336,522740412;6847278009,00275;149191,078644568;4245515057,82325;8514734583,2198;385784,69598;22071,2088165914;19339,1019793283;3403833000;168159,35625;2046433;2096486178,06571;108406,594075912;69692,8685403409;2609094000;1663243;1779822345,52498;92032,3160520812;59051,2686780446;45166,1000740882;319231,533977754;217625,33973;25973,5808341412;123882684,41517;227834,9267804;7582940061,80857
"Bélgica";0;5279505794,81949;259269,07689272;12859333286,9537;244781,178763045;8650380991,33941;9884106769,20751;510459,29282;19363,1635435676;27247,9036325878;2695837875,11875;188253,92402;1911056;3290113136,72896;120747,385967487;74970,8144501298;2394144132,22495;1694854;3001370447,4051;110150,508746498;68330,8225594562;45426,1466425133;394369,290136281;322205,3688;43504,6354529658;97150345,7438616;199588,631267254;10539557623,3165
"Bulgária";0;1666715567,71984;20040,7047525528;1396632220,02567;28789,2249283437;-916537291,75361;6336097378,1755;61125,67566;103656,889020235;60464,9572467657;3679720139,52698;20183,78104;2272661,86306883;567710627,092944;9389,08506585129;333,941815629735;2532968968,3603;1523270,28733105;429279216,283783;7099,63648087663;227,298390801101;8087,28871414871;45048,678135872;40941,89462;5244,3823119357;158183454,537134;199144,516220163;7543507616,02295
"Brasil";0;16550751357,683;163720,788358104;10446990965,1374;128383,968967072;-3492618644,36032;154367197477,524;1398872,64242;110351,144769315;62826,2834445738;97455977565,8679;611488,10873;47985081,3028958;20643899901,4461;328586,998459943;249461,376610756;79874405930,2601;39950098,9770048;16894670305,8657;268910,866274151;204978,423188361;205885,079600057;1024181,8715828;787384,53369;129079,554174889;4843245433,52848;396133,977665356;24946172664,1949
"Canadá";0;8008590673,90833;428134,888546352;24637032527,5655;373514,369600259;20664513005,0942;27875089735,0398;1346003,75069;20709,5186181689;20204,9541339348;12470270723,1141;635958,75059;6808487,7319365;7052648735,46966;349055,419216445;301832,057156299;11077157507,3191;6090841,89062771;6722959037,64228;332738,148925114;288920,067823234;255097,236723555;1482203,03778175;710045,0001;189467,669208767;407244421,805468;472124,006676084;11659083926,3161
"China";0;269438684740,88;1212280,12184597;61550708711,8484;897519,003292166;-184629349148,484;2412870714861,41;8681902,62773;277919,578037503;290720,170155312;1076703089611,7;2394979,25516;568757600,521568;320419424865,542;1102157,53070853;5990847,50262843;0;0;320419424865,542;1102157,53070853;5990847,50262843;1246538,19225147;2944736,20384355;6286923,37257;701554,899274955;37761259757,4376;332955,18270116;20952217565,2717
"Chipre";0;118906416,131516;2480,49962269522;481695081,284876;7795,20563725549;-29930628,5777418;537225404,260279;13817,76061;38879,3393823515;21307,1132346601;283387000;6595,93047;145000;99501519,7638398;4669,87332671521;2388,62696460421;186456000;110600;72497827,2724996;3402,51757589423;1762,21083978399;1661,68541328479;11477,3246765686;7221,83014;1113,9035711547;19594734,308466;210526,337755934;9923344154,2717
"Tchéquia";0;4894724866,60397;122730,105493772;5267882404,35964;111103,913255649;1232251153,09942;12546902031,6613;296945,75981;42253,1779530693;30567,4240331731;5779303000;93999,36964;2978471;1528985274,4181;50020,089123597;673042,207958851;4798305000;2564263;1295542175,88686;42383,0995533312;581155,865425849;34218,972996403;202837,352909173;202946,39017;26165,4603997111;298219916,099255;226717,188072848;7609254276,57423
"Alemanha";0;26256382223,6267;1380832,95542983;64602498268,0188;1031654,73873217;64147923759,0819;71335201303,6621;3472339,83528;20543,8421029173;22648,456124802;27092350295,3203;1478374,78422;18476000;21561820542,9474;952021,64881055;656329,512580707;23430234146,3415;16672000;19296145128,0697;851985,010445758;586656,235009461;389834,87038945;2105491,53724531;1993965,05106;275138,816184071;1172038973,86339;216014,517348592;11706447416,1729
