"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41"
"Austrália";0;77816509,1727953;-20137262,1167929;-5267323,3282474;-93219244,5442523;130252363,541831;-5322226131,15062;-3379721,20091379;4555671,39065526;472400672,369743;80468385,4185111;-22539268,0874638;-24207,1912064218;-41864573,7236536;136879208,059463;156529872,7661;1424340,48182445;8825834,47781086;-606286730,019642;-1413026490,81706;83545782,2728279;138523559,366847;-1103850277,10017;-656601256,074141;2300039,32302888;1713177,53886992;59399,4982808863;-10703999,7808043;-776213,385875002;110892360,60674;-22678537,3155611;4672747,6796578;-11704235,6361336;-29008903,4988277;-569855,750194034;1888313,18694682;123757389,735806;-32065881,5679498;-383275844,354831;491851261,616327;-5988033892,46118
"Áustria";-77816509,1727953;0;23308774,9427556;-48403667,4862814;-52761223,3098233;-53966347,3626183;-792071722,709564;-5323048,21570376;-10268532,2858779;1071228543,77138;-14400054,5520046;-93976517,9751782;-6367038,47887233;21692526,5987507;-7231779,30479592;-154821478,990434;-47481895,1606415;-225366914,809793;-58021908,7322961;-333837349,328116;13486127,1868193;-252815130,357088;-5482288,56251639;-25180687,7287646;-7324555,83917703;5410765,85544973;-11785774,6097999;-34655621,0306062;-1486910,879518;68910906,6895131;-68796851,9503251;-778131,413632251;-127602166,948063;-105556764,029219;27765236,9950593;-124370294,263819;8017873,8243286;-63528043,8909726;-41447779,0381725;-467958910,814309;-3076896349,60843
"Bélgica";20137262,1167929;-23308774,9427556;0;9130465,06486284;-156777805,440933;5232418,71645585;-1321935591,4441;-9512912,4529366;-131700,838984251;295038239,605916;-92566075,1926992;-302509963,718596;-12792492,1835418;684257,580717713;-145986537,763152;-567928217,688351;-137826249,052222;-52061547,8504475;-158899298,413171;-2019783143,33476;347553132,918885;-645126814,580432;197019087,053486;-3900059,34364487;-17479248,7734287;-211101140,099122;-10273441,8507348;-44705860,0446483;-3615504,98462202;818054224,711011;-97315579,5743047;-73146230,5434746;-57287230,0357773;-124222892,196771;-13443590,4512769;-29344849,3978372;-10674650,6898631;-97042095,7515893;-26150647,7129657;-306963179,828372;-6975150868,07391
"Bulgária";5267323,3282474;48403667,4862814;-9130465,06486285;0;-32356471,4138647;4132885,46258845;-94069970,4876195;1046783,75503959;25678483,8519615;296904863,574938;8363976,3932745;70254474,4530947;378881,488164802;7217883,91748259;100004468,411215;44164075,6513252;52268273,2837631;17456984,3723618;195507,121667101;-29489470,0663234;6958735,31983415;175513985,246685;21720418,7548486;11282532,1956671;998326,13778144;687245,913773448;284797,809902529;3249757,63103003;1717047,00067891;23319203,3299812;30637980,2216337;2890027,97709372;14214783,5312538;14402909,4714735;10555174,7930465;8054296,38201825;21291982,5116966;42510271,8818376;4376484,03830539;40135900,7901988;-123464341,382557
"Brasil";93219244,5442524;52761223,3098233;156777805,440933;32356471,4138647;0;184635411,087523;-411222022,251197;-215305,871656871;28223108,7012179;1027796204,85009;62243070,6334932;363662984,938854;2059092,36982669;78199021,9402467;391767915,228626;324081896,015243;33924971,0595171;6523273,46974688;-30456577,6114906;-378596980,571115;35352305,2749894;421794158,558221;436275845,219286;229026922,565111;3335369,07530266;1608147,9295253;761333,49565994;-142390846,342721;2615651,54364859;466223133,933113;18588793,0299056;82569569,6777874;31670369,2836236;313199193,403277;4239711,14505186;9502778,91385995;118250858,787046;27596883,0822263;104224696,593978;1172126561,88758;-4475834008,10385
"Canadá";-130252363,541831;53966347,3626183;-5232418,71645585;-4132885,46258845;-184635411,087523;0;-6358766517,66965;-2567288,70139226;-4602806,65172375;399887245,739407;41218692,4598285;57999326,4043052;-1844131,67406658;53814622,5696096;248519107,634481;-370290833,48075;-589817,368151348;1216941,14297854;-180586968,561002;-2782090043,93368;92649583,0201124;221423664,83825;206525894,733121;28709473,5332518;25703182,2919824;1149972,76063175;-1772,91014555469;-316518449,809889;182410,036355482;-28136152,3965878;-53637956,0242278;9778331,83656293;-29238497,2341201;-68176758,6914482;8845987,01348719;3025436,23118969;109643672,129272;-34743321,8889465;-978272,842508942;-9075795953,86633;-8575825698,44947
"China";5322226131,15062;792071722,709564;1321935591,4441;94069970,4876195;411222022,251197;6358766517,66965;0;39289531,3673373;586886519,481385;12103151192,9488;727602661,027741;3121726220,07371;115228202,813611;720266228,994339;4971413270,75493;6675237239,86002;421957587,853389;333749909,86118;1062577283,09836;-1291542218,68659;606462469,378324;4768240427,51043;28797946716,5986;11767155419,2252;52765193,5666744;59032578,7593646;27251829,0701512;2322765429,9133;45393397,5975187;2306298140,63115;947569852,683216;167055198,904349;307708783,368183;4022944534,66674;180313898,727907;40875409,3550975;962221156,380146;1480231222,1285;6187549920,78734;46511403208,4459;7818443556,0534
"Chipre";3379721,20091379;5323048,21570376;9512912,4529366;-1046783,75503959;215305,871656872;2567288,70139226;-39289531,3673373;0;569293,94815961;34227603,0141491;5516985,07727708;13769892,3401246;1589000,3587411;1443232,58308441;34371140,8885918;40085475,9548696;24297555,9363102;462091,12688766;109950,285984895;-50861673,9100342;3124324,15685687;50211968,4663874;8781057,26175682;2400950,3820227;-372564,853540012;177856,76746328;-966994,897264435;3160689,55423655;58638,5416745793;15070281,9406489;903458,667467637;1613755,78980467;-2864443,26998127;-6042331,8832555;1329501,4593467;265865,360931918;1999786,11618411;616036,758303848;1257149,14440626;12434207,2606281;-217991229,332383
"Tchéquia";-4555671,39065526;10268532,2858779;131700,838984251;-25678483,8519615;-28223108,7012179;4602806,65172374;-586886519,481385;-569293,948159609;0;607536316,867611;19425583,1737546;1639701,3632881;-6269611,73209173;12819636,3066753;50421090,2645737;-31369074,4206001;-15549305,4786371;-7109598,90251943;-26539333,5390096;-184963312,68113;15337863,8643145;68144877,5858222;127101052,130456;11313741,4520361;-8403920,54377121;9255228,49431925;-9205355,17757346;-13512840,0487193;52107,915562041;122509933,673416;-39068552,5060534;-9843883,00544089;-69322280,3002054;122103542,032059;-27687860,3284944;5176047,93969497;-4284174,9851087;-22829412,4173268;33095510,8768424;-24429327,4958919;-1697336788,36142
"Alemanha";-472400672,369743;-1071228543,77138;-295038239,605916;-296904863,574938;-1027796204,85009;-399887245,739407;-12103151192,9488;-34227603,0141491;-607536316,867611;0;-393699992,772232;-2180810155,41368;-111588893,818924;56894558,9058455;-1179638320,39602;-1629736811,11575;-565438016,906382;-674419331,819626;-615218919,830753;-4750536612,67254;862787323,280663;-2241290025,44708;-76332366,1161838;-138043715,470349;-160458821,027189;-64856412,2974283;-110805770,534267;-741489476,059197;-9776664,36758636;993142601,568914;-1147181708,06573;-489729201,800554;-712901773,757766;-678624261,18748;-180764876,48508;-97046145,046628;-581973480,79709;-969538005,437456;-335813527,091879;-4602553583,12416;-36679628953,185
