disaggregated;aggregated;level
C20;C20_C21;prop2
C21;C20_C21;prop2
C26;C26_C27;prop2
C27;C26_C27;prop2
C10-C12;C;prop
C13-C15;C;prop
C16-C18;C;prop
C19;C;prop
C20;C;prop
C21;C;prop
C22_C23;C;prop
C24_C25;C;prop
C26;C;prop
C27;C;prop
C28;C;prop
C29_C30;C;prop
C31-C33;C;prop
D;D_E;prop
E;D_E;prop
G45;G;prop
G46;G;prop
G47;G;prop
H49;H;prop
H50;H;prop
H51;H;prop
H52;H;prop
H53;H;prop
J58-J60;J;prop
J61;J;prop
J62_J63;J;prop
O;O-Q;prop
P;O-Q;prop
Q;O-Q;prop
R;R_S;prop
S;R_S;prop
C20;C20_C21;needed
C21;C20_C21;needed
C26;C26_C27;needed
C27;C26_C27;needed
D;D_E;needed
E;D_E;needed
R;R_S;needed
S;R_S;needed
R_S;R_S_U;new
U;R_S_U;new
H53;H53-J63;new
J58-J60;H53-J63;new
J61;H53-J63;new
J62_J63;H53-J63;new
K_IT;K_ITCT;category
K_CT;K_ITCT;category
K_RStruc;K_RSOC;category
K_OCon;K_RSOC;category
K_Soft_DB;K_SoftIPP;category
K_OIPP;K_SoftIPP;category
K_RD;K_RDetc;category
K_SoftIPP;K_RDetc;category
