setor;code;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Crop and animal production, hunting and related service activities;A01;1,415830823;1,431790362;1,476215935;1,494615744;1,507078094;1,496864004;1,531325521;1,538330448;1,580154735;1,580154735;1,580154735;1,580154735;1,580154735;1,580154735;1,580154735
Forestry and logging;A02;1,415830823;1,431790362;1,476215935;1,494615744;1,507078094;1,496864004;1,531325521;1,538330448;1,580154735;1,580154735;1,580154735;1,580154735;1,580154735;1,580154735;1,580154735
Fishing and aquaculture;A03;1,415830823;1,431790362;1,476215935;1,494615744;1,507078094;1,496864004;1,531325521;1,538330448;1,580154735;1,580154735;1,580154735;1,580154735;1,580154735;1,580154735;1,580154735
Mining and quarrying;B;2,058130649;2,006200438;2,050718722;2,053428238;2,077364887;2,069627862;2,499266445;2,520234627;2,576096327;2,576096327;2,576096327;2,576096327;2,576096327;2,576096327;2,576096327
Manufacture of food products, beverages and tobacco products;C10-C12;1,983148007;1,990594664;2,049100765;2,053598858;1,988182709;1,966329976;2,163582974;2,195510283;2,27480333;2,27480333;2,27480333;2,27480333;2,27480333;2,27480333;2,27480333
Manufacture of textiles, wearing apparel and leather products;C13-C15;2,075212951;2,441620593;2,56932899;2,602724941;2,576122851;2,48792567;2,224012587;2,225497573;2,234124289;2,234124289;2,234124289;2,234124289;2,234124289;2,234124289;2,234124289
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;1,847278728;2,016603251;2,098334497;2,168142593;2,136118028;2,086809746;1,8292633;1,827944912;1,834664081;1,834664081;1,834664081;1,834664081;1,834664081;1,834664081;1,834664081
Manufacture of paper and paper products;C17;2,050708666;2,015712789;2,078158232;2,072478778;2,029140991;1,985862058;1,981118522;1,977889181;1,98152064;1,98152064;1,98152064;1,98152064;1,98152064;1,98152064;1,98152064
Printing and reproduction of recorded media;C18;2,050708666;2,015712789;2,078158232;2,072478778;2,029140991;1,985862058;1,981118522;1,977889181;1,98152064;1,98152064;1,98152064;1,98152064;1,98152064;1,98152064;1,98152064
Manufacture of coke and refined petroleum products ;C19;2,426786557;1,665612482;1,647289498;1,623121141;1,666837624;1,447933727;2,744371781;2,746806879;2,801543905;2,801543905;2,801543905;2,801543905;2,801543905;2,801543905;2,801543905
Manufacture of chemicals and chemical products ;C20;2,356178807;1,903765854;1,86116204;1,835853968;1,866699328;1,890663378;2,854739618;2,877284686;3,081418096;3,081418096;3,081418096;3,081418096;3,081418096;3,081418096;3,081418096
Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;2,356178807;1,903765854;1,86116204;1,835853968;1,866699328;1,890663378;2,854739618;2,877284686;3,081418096;3,081418096;3,081418096;3,081418096;3,081418096;3,081418096;3,081418096
Manufacture of rubber and plastic products;C22;2,020401955;2,141467284;2,252077216;2,265996577;2,233456489;2,199190356;2,018000669;2,029875573;2,016592052;2,016592052;2,016592052;2,016592052;2,016592052;2,016592052;2,016592052
Manufacture of other non-metallic mineral products;C23;2,369835856;2,367188814;2,412923946;2,398929192;2,424842158;2,391157337;2,703993301;2,705946724;2,759920342;2,759920342;2,759920342;2,759920342;2,759920342;2,759920342;2,759920342
Manufacture of basic metals;C24;2,446291417;2,239932002;2,26032531;2,222250162;2,305308692;2,272529785;2,633197669;2,653313113;2,836727624;2,836727624;2,836727624;2,836727624;2,836727624;2,836727624;2,836727624
Manufacture of fabricated metal products, except machinery and equipment;C25;2,446291417;2,239932002;2,26032531;2,222250162;2,305308692;2,272529785;2,633197669;2,653313113;2,836727624;2,836727624;2,836727624;2,836727624;2,836727624;2,836727624;2,836727624
Manufacture of computer, electronic and optical products;C26;2,630909331;2,674566462;2,785053655;2,979369397;3,174887892;3,334754117;2,880439382;2,891412794;3,025722525;3,025722525;3,025722525;3,025722525;3,025722525;3,025722525;3,025722525
Manufacture of electrical equipment;C27;2,630909331;2,674566462;2,785053655;2,979369397;3,174887892;3,334754117;2,880439382;2,891412794;3,025722525;3,025722525;3,025722525;3,025722525;3,025722525;3,025722525;3,025722525
Manufacture of machinery and equipment n.e.c.;C28;2,451692397;2,149876481;2,118428598;2,134374418;2,258227389;2,310424202;2,598445846;2,602898286;2,67418515;2,67418515;2,67418515;2,67418515;2,67418515;2,67418515;2,67418515
Manufacture of motor vehicles, trailers and semi-trailers;C29;2,492282729;2,129754234;2,140741975;2,203368188;2,226309502;2,228522034;2,505127865;2,487711142;2,520633283;2,520633283;2,520633283;2,520633283;2,520633283;2,520633283;2,520633283
Manufacture of other transport equipment;C30;2,492282729;2,129754234;2,140741975;2,203368188;2,226309502;2,228522034;2,505127865;2,487711142;2,520633283;2,520633283;2,520633283;2,520633283;2,520633283;2,520633283;2,520633283
"Manufacture of furniture; other manufacturing";C31_C32;2,039586548;2,183551591;2,350348426;2,468111196;2,442787799;2,437150219;2,143043722;2,160282289;2,24770703;2,24770703;2,24770703;2,24770703;2,24770703;2,24770703;2,24770703
Repair and installation of machinery and equipment;C33;2,039586548;2,183551591;2,350348426;2,468111196;2,442787799;2,437150219;2,143043722;2,160282289;2,24770703;2,24770703;2,24770703;2,24770703;2,24770703;2,24770703;2,24770703
Electricity, gas, steam and air conditioning supply;D35;1,969458624;2,354467285;2,252365428;2,141714618;2,134692773;2,16219679;2,43189468;2,42968832;2,477476312;2,477476312;2,477476312;2,477476312;2,477476312;2,477476312;2,477476312
Water collection, treatment and supply;E36;1,969458624;2,354467285;2,252365428;2,141714618;2,134692773;2,16219679;2,43189468;2,42968832;2,477476312;2,477476312;2,477476312;2,477476312;2,477476312;2,477476312;2,477476312
"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;2,039586548;2,183551591;2,350348426;2,468111196;2,442787799;2,437150219;2,143043722;2,160282289;2,24770703;2,24770703;2,24770703;2,24770703;2,24770703;2,24770703;2,24770703
Construction;F;2,178201266;2,202754404;2,271101439;2,299408837;2,318581683;2,302867699;2,355885418;2,366662228;2,431007284;2,431007284;2,431007284;2,431007284;2,431007284;2,431007284;2,431007284
Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wholesale trade, except of motor vehicles and motorcycles;G46;1,97716177;2,35047208;2,476587737;2,531818172;2,488611235;2,416795345;2,075514621;2,077139311;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839
Retail trade, except of motor vehicles and motorcycles;G47;1,97716177;2,35047208;2,476587737;2,531818172;2,488611235;2,416795345;2,075514621;2,077139311;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839
Land transport and transport via pipelines;H49;2,178201266;2,202754404;2,271101439;2,299408837;2,318581683;2,302867699;2,355885418;2,366662228;2,431007284;2,431007284;2,431007284;2,431007284;2,431007284;2,431007284;2,431007284
Water transport;H50;2,058130649;2,006200438;2,050718722;2,053428238;2,077364887;2,069627862;2,499266445;2,520234627;2,576096327;2,576096327;2,576096327;2,576096327;2,576096327;2,576096327;2,576096327
Air transport;H51;1,983148007;1,990594664;2,049100765;2,053598858;1,988182709;1,966329976;2,163582974;2,195510283;2,27480333;2,27480333;2,27480333;2,27480333;2,27480333;2,27480333;2,27480333
Warehousing and support activities for transportation;H52;2,099424457;2,390810414;2,505179148;2,522729439;2,504832371;2,409291877;2,245544225;2,245779077;2,254737514;2,254737514;2,254737514;2,254737514;2,254737514;2,254737514;2,254737514
Postal and courier activities;H53;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Accommodation and food service activities;I;1,97716177;2,35047208;2,476587737;2,531818172;2,488611235;2,416795345;2,075514621;2,077139311;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839
Publishing activities;J58;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Telecommunications;J61;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"Computer programming, consultancy and related activities; information service activities";J62_J63;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Financial service activities, except insurance and pension funding;K64;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Insurance, reinsurance and pension funding, except compulsory social security;K65;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Activities auxiliary to financial services and insurance activities;K66;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Real estate activities;L68;1,97716177;2,35047208;2,476587737;2,531818172;2,488611235;2,416795345;2,075514621;2,077139311;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839
"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;1,97716177;2,35047208;2,476587737;2,531818172;2,488611235;2,416795345;2,075514621;2,077139311;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839
"Architectural and engineering activities; technical testing and analysis";M71;1,97716177;2,35047208;2,476587737;2,531818172;2,488611235;2,416795345;2,075514621;2,077139311;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839
Scientific research and development;M72;1,97716177;2,35047208;2,476587737;2,531818172;2,488611235;2,416795345;2,075514621;2,077139311;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839
Advertising and market research;M73;1,97716177;2,35047208;2,476587737;2,531818172;2,488611235;2,416795345;2,075514621;2,077139311;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839
"Other professional, scientific and technical activities; veterinary activities";M74_M75;1,97716177;2,35047208;2,476587737;2,531818172;2,488611235;2,416795345;2,075514621;2,077139311;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839
Administrative and support service activities;N;1,97716177;2,35047208;2,476587737;2,531818172;2,488611235;2,416795345;2,075514621;2,077139311;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839
"Public administration and defence; compulsory social security";O84;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Education;P85;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Human health and social work activities;Q;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Other service activities;R_S;1,97716177;2,35047208;2,476587737;2,531818172;2,488611235;2,416795345;2,075514621;2,077139311;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839;2,085151839
"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
