leontief_signed_profile;year;coefficient_negative_count;certificate_type
wiodr13_standard_signed_v1;1995;0;productivity_nonnegative
wiodr13_standard_signed_v1;1996;0;productivity_nonnegative
wiodr13_standard_signed_v1;1997;0;productivity_nonnegative
wiodr13_standard_signed_v1;1998;0;productivity_nonnegative
wiodr13_standard_signed_v1;1999;0;productivity_nonnegative
wiodr13_standard_signed_v1;2000;0;productivity_nonnegative
wiodr13_standard_signed_v1;2001;0;productivity_nonnegative
wiodr13_standard_signed_v1;2002;0;productivity_nonnegative
wiodr13_standard_signed_v1;2003;0;productivity_nonnegative
wiodr13_standard_signed_v1;2004;0;productivity_nonnegative
wiodr13_standard_signed_v1;2005;0;productivity_nonnegative
wiodr13_standard_signed_v1;2006;397;absolute_convergence_signed
wiodr13_standard_signed_v1;2007;0;productivity_nonnegative
wiodr13_standard_signed_v1;2008;0;productivity_nonnegative
wiodr13_standard_signed_v1;2009;0;productivity_nonnegative
wiodr13_v09_signed_v1;1995;0;productivity_nonnegative
wiodr13_v09_signed_v1;1996;0;productivity_nonnegative
wiodr13_v09_signed_v1;1997;0;productivity_nonnegative
wiodr13_v09_signed_v1;1998;0;productivity_nonnegative
wiodr13_v09_signed_v1;1999;0;productivity_nonnegative
wiodr13_v09_signed_v1;2000;0;productivity_nonnegative
wiodr13_v09_signed_v1;2001;0;productivity_nonnegative
wiodr13_v09_signed_v1;2002;0;productivity_nonnegative
wiodr13_v09_signed_v1;2003;0;productivity_nonnegative
wiodr13_v09_signed_v1;2004;0;productivity_nonnegative
wiodr13_v09_signed_v1;2005;0;productivity_nonnegative
wiodr13_v09_signed_v1;2006;396;absolute_convergence_signed
wiodr13_v09_signed_v1;2007;0;productivity_nonnegative
wiodr13_v09_signed_v1;2008;0;productivity_nonnegative
wiodr13_v09_signed_v1;2009;0;productivity_nonnegative
wiodr13_zerodep_signed_v1;1995;0;productivity_nonnegative
wiodr13_zerodep_signed_v1;1996;0;productivity_nonnegative
wiodr13_zerodep_signed_v1;1997;0;productivity_nonnegative
wiodr13_zerodep_signed_v1;1998;0;productivity_nonnegative
wiodr13_zerodep_signed_v1;1999;0;productivity_nonnegative
wiodr13_zerodep_signed_v1;2000;0;productivity_nonnegative
wiodr13_zerodep_signed_v1;2001;0;productivity_nonnegative
wiodr13_zerodep_signed_v1;2002;0;productivity_nonnegative
wiodr13_zerodep_signed_v1;2003;0;productivity_nonnegative
wiodr13_zerodep_signed_v1;2004;0;productivity_nonnegative
wiodr13_zerodep_signed_v1;2005;0;productivity_nonnegative
wiodr13_zerodep_signed_v1;2006;0;productivity_nonnegative
wiodr13_zerodep_signed_v1;2007;0;productivity_nonnegative
wiodr13_zerodep_signed_v1;2008;0;productivity_nonnegative
wiodr13_zerodep_signed_v1;2009;0;productivity_nonnegative
wiodr16_signed_v1;2000;0;productivity_nonnegative
wiodr16_signed_v1;2001;0;productivity_nonnegative
wiodr16_signed_v1;2002;0;productivity_nonnegative
wiodr16_signed_v1;2003;0;productivity_nonnegative
wiodr16_signed_v1;2004;0;productivity_nonnegative
wiodr16_signed_v1;2005;0;productivity_nonnegative
wiodr16_signed_v1;2006;0;productivity_nonnegative
wiodr16_signed_v1;2007;0;productivity_nonnegative
wiodr16_signed_v1;2008;0;productivity_nonnegative
wiodr16_signed_v1;2009;0;productivity_nonnegative
wiodr16_signed_v1;2010;0;productivity_nonnegative
wiodr16_signed_v1;2011;0;productivity_nonnegative
wiodr16_signed_v1;2012;0;productivity_nonnegative
wiodr16_signed_v1;2013;0;productivity_nonnegative
wiodr16_signed_v1;2014;0;productivity_nonnegative
