nonfinite_resolution_profile;binding;indicator;kind;module;expected_count;coordinate_sha256
alternative_2_nonfinite_v1;hours_worked.empe_hs.r.pc;hours_worked.empe_hs.r.pc;NaN;indicator.complex_labour_multiplier.empe.r.un.alternative_2;135;92d8a1ca5549f31818ac1603691d8426f8cb27b09f63ba99448896b687544dfe
alternative_2_nonfinite_v1;hours_worked.empe_ms.r.pc;hours_worked.empe_ms.r.pc;NaN;indicator.complex_labour_multiplier.empe.r.un.alternative_2;135;92d8a1ca5549f31818ac1603691d8426f8cb27b09f63ba99448896b687544dfe
alternative_2_nonfinite_v1;hours_worked.empe_ls.r.pc;hours_worked.empe_ls.r.pc;NaN;indicator.complex_labour_multiplier.empe.r.un.alternative_2;135;92d8a1ca5549f31818ac1603691d8426f8cb27b09f63ba99448896b687544dfe
petrovic_nonfinite_v1;hours_worked.empe_hs.r.pc;hours_worked.empe_hs.r.pc;NaN;indicator.complex_labour_multiplier.empe.r.un.petrovic;135;92d8a1ca5549f31818ac1603691d8426f8cb27b09f63ba99448896b687544dfe
petrovic_nonfinite_v1;hours_worked.empe_ms.r.pc;hours_worked.empe_ms.r.pc;NaN;indicator.complex_labour_multiplier.empe.r.un.petrovic;135;92d8a1ca5549f31818ac1603691d8426f8cb27b09f63ba99448896b687544dfe
petrovic_nonfinite_v1;hours_worked.empe_ls.r.pc;hours_worked.empe_ls.r.pc;NaN;indicator.complex_labour_multiplier.empe.r.un.petrovic;135;92d8a1ca5549f31818ac1603691d8426f8cb27b09f63ba99448896b687544dfe
ochoa_1_wage_nonfinite_v1;emp;complex_labour_multiplier.emp.r.un;NaN;indicator.complex_labour_multiplier.emp.r.un.ochoa_1;264;d7c7acef1dbb3bfe4bf384a62dff26cb82745ae27bf3f8e0f3c28256d5703bb2
ochoa_1_wage_nonfinite_v1;empe;complex_labour_multiplier.empe.r.un;NaN;indicator.complex_labour_multiplier.empe.r.un.ochoa_1;262;6c341c9b9027025e575aeca5c672697ec4a422763dbaa06cf675b8362dae8417
ochoa_1_wage_nonfinite_v1;empe;complex_labour_multiplier.empe.r.un;Inf;indicator.complex_labour_multiplier.empe.r.un.ochoa_1;4;03357b1ea2470ff2c1941459904b7fcf937353831a1fa83e80c1f63dd94b7d52
ochoa_2_wage_nonfinite_v1;emp;complex_labour_multiplier.emp.r.un;NaN;indicator.complex_labour_multiplier.emp.r.un.ochoa_2;264;d7c7acef1dbb3bfe4bf384a62dff26cb82745ae27bf3f8e0f3c28256d5703bb2
ochoa_2_wage_nonfinite_v1;empe;complex_labour_multiplier.empe.r.un;NaN;indicator.complex_labour_multiplier.empe.r.un.ochoa_2;262;6c341c9b9027025e575aeca5c672697ec4a422763dbaa06cf675b8362dae8417
ochoa_2_wage_nonfinite_v1;empe;complex_labour_multiplier.empe.r.un;Inf;indicator.complex_labour_multiplier.empe.r.un.ochoa_2;4;03357b1ea2470ff2c1941459904b7fcf937353831a1fa83e80c1f63dd94b7d52
