nonfinite_resolution_profile;artifact;indicator;year;country;sector;from;to
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_hs.r.pc;*;AUS;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_hs.r.pc;*;BRA;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_hs.r.pc;*;CHN;50;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_hs.r.pc;*;CHN;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_hs.r.pc;*;IDN;50;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_hs.r.pc;*;IDN;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_hs.r.pc;*;JPN;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_hs.r.pc;*;KOR;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_hs.r.pc;*;RUS;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_ms.r.pc;*;AUS;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_ms.r.pc;*;BRA;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_ms.r.pc;*;CHN;50;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_ms.r.pc;*;CHN;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_ms.r.pc;*;IDN;50;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_ms.r.pc;*;IDN;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_ms.r.pc;*;JPN;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_ms.r.pc;*;KOR;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_ms.r.pc;*;RUS;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_ls.r.pc;*;AUS;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_ls.r.pc;*;BRA;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_ls.r.pc;*;CHN;50;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_ls.r.pc;*;CHN;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_ls.r.pc;*;IDN;50;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_ls.r.pc;*;IDN;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_ls.r.pc;*;JPN;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_ls.r.pc;*;KOR;P;NaN;0
alternative_2_nonfinite_v1;sea_sectors;hours_worked.empe_ls.r.pc;*;RUS;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_hs.r.pc;*;AUS;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_hs.r.pc;*;BRA;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_hs.r.pc;*;CHN;50;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_hs.r.pc;*;CHN;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_hs.r.pc;*;IDN;50;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_hs.r.pc;*;IDN;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_hs.r.pc;*;JPN;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_hs.r.pc;*;KOR;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_hs.r.pc;*;RUS;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_ms.r.pc;*;AUS;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_ms.r.pc;*;BRA;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_ms.r.pc;*;CHN;50;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_ms.r.pc;*;CHN;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_ms.r.pc;*;IDN;50;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_ms.r.pc;*;IDN;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_ms.r.pc;*;JPN;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_ms.r.pc;*;KOR;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_ms.r.pc;*;RUS;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_ls.r.pc;*;AUS;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_ls.r.pc;*;BRA;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_ls.r.pc;*;CHN;50;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_ls.r.pc;*;CHN;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_ls.r.pc;*;IDN;50;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_ls.r.pc;*;IDN;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_ls.r.pc;*;JPN;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_ls.r.pc;*;KOR;P;NaN;0
petrovic_nonfinite_v1;sea_sectors;hours_worked.empe_ls.r.pc;*;RUS;P;NaN;0
