method;output_profile;scientific_profile
wiodr13;wiodr13_standard;wiodr13_standard_v1
wiodr16;wiodr16_standard;wiodr16_standard_v1
alternative_1;wiodr13_reduction;wiodr13_reduction_v1
alternative_2;wiodr13_reduction;wiodr13_reduction_alternative_2_v1
norow_w13;wiodr13_standard;wiodr13_standard_v1
ochoa_1;wiodr13_reduction;wiodr13_reduction_ochoa_1_v1
ochoa_2;wiodr13_reduction;wiodr13_reduction_ochoa_2_v1
petrovic;wiodr13_reduction;wiodr13_reduction_petrovic_v1
wiodr13v09;wiodr13_v09;wiodr13_v09_v1
wiodr16v09;wiodr16_v09;wiodr16_v09_v1
zerodep_1;wiodr13_standard;wiodr13_zerodep_v1
zerodep_2;wiodr16_standard;wiodr16_standard_v1
