scientific_profile;source;leontief_zero_profile;leontief_signed_profile;nonfinite_resolution_profile
wiodr13_standard_v1;wiodr13;wiodr13_leontief_zero_output_v1;wiodr13_standard_signed_v1;nonfinite_none_v1
wiodr13_reduction_v1;wiodr13;wiodr13_v09_leontief_zero_output_v1;wiodr13_v09_signed_v1;nonfinite_none_v1
wiodr13_reduction_alternative_2_v1;wiodr13;wiodr13_v09_leontief_zero_output_v1;wiodr13_v09_signed_v1;alternative_2_nonfinite_v1
wiodr13_reduction_ochoa_1_v1;wiodr13;wiodr13_v09_leontief_zero_output_v1;wiodr13_v09_signed_v1;ochoa_1_wage_nonfinite_v1
wiodr13_reduction_ochoa_2_v1;wiodr13;wiodr13_v09_leontief_zero_output_v1;wiodr13_v09_signed_v1;ochoa_2_wage_nonfinite_v1
wiodr13_reduction_petrovic_v1;wiodr13;wiodr13_v09_leontief_zero_output_v1;wiodr13_v09_signed_v1;petrovic_nonfinite_v1
wiodr13_v09_v1;wiodr13;wiodr13_v09_leontief_zero_output_v1;wiodr13_v09_signed_v1;nonfinite_none_v1
wiodr13_zerodep_v1;wiodr13;wiodr13_zerodep_zero_v1;wiodr13_zerodep_signed_v1;nonfinite_none_v1
wiodr16_standard_v1;wiodr16;wiodr16_zero_v1;wiodr16_signed_v1;nonfinite_none_v1
wiodr16_v09_v1;wiodr16;wiodr16_zero_v1;wiodr16_signed_v1;nonfinite_none_v1
