indicator;pt;en
emp.s.un;Pessoas ocupadas, incluindo empregados e trabalhadores por conta própria.;Persons engaged, including employees and self-employed workers.
empe.s.un;Empregados assalariados.;Wage and salaried employees.
hours_worked.emp.s.hr;Horas anuais de todas as pessoas ocupadas.;Annual hours worked by all persons engaged.
hours_worked.empe.s.hr;Horas anuais dos empregados.;Annual employee hours.
compensation.empe_hs.r.pc;Parcela da remuneração dos empregados destinada à alta qualificação.;High-skill share of employee compensation.
compensation.empe_ms.r.pc;Parcela da remuneração dos empregados destinada à média qualificação.;Medium-skill share of employee compensation.
compensation.empe_ls.r.pc;Parcela da remuneração dos empregados destinada à baixa qualificação.;Low-skill share of employee compensation.
hours_worked.empe_hs.r.pc;Parcela das horas dos empregados de alta qualificação.;High-skill share of employee hours.
hours_worked.empe_ms.r.pc;Parcela das horas dos empregados de média qualificação.;Medium-skill share of employee hours.
hours_worked.empe_ls.r.pc;Parcela das horas dos empregados de baixa qualificação.;Low-skill share of employee hours.
exchange.r.us;Unidades monetárias nacionais por dólar: valor adicionado nacional em moeda local dividido pelo total em USD. Igual em todos os setores do país.;Local-currency units per dollar: national value added in local currency divided by its USD total. Identical across the country's sectors.
compensation.empe.s.us;Remuneração dos empregados (COMP), convertida pelo câmbio nacional.;Employee compensation (COMP), converted at the national exchange rate.
compensation.emp.s.us;Remuneração do trabalho de todas as pessoas ocupadas (LAB), incluindo renda imputada dos não assalariados.;Labour compensation of all persons engaged (LAB), including imputed non-employee labour income.
capital_stock.s.us;Estoque de ativos de capital a preços correntes. WIOD13 combina K_GFCF e GFCF_P, WIOD16 usa K, com as exceções documentadas.;Capital asset stock at current prices. WIOD13 combines K_GFCF and GFCF_P, WIOD16 uses K, with the documented exceptions.
gross_output.s.us;Produto bruto a preços de mercado (GO_USD), incluindo consumo intermediário: não é PIB.;Gross output at market prices (GO_USD), including intermediate consumption: this is not GDP.
gdp.s.us;Valor adicionado (VA_USD), cuja soma é o PIB pela ótica da produção.;Value added (VA_USD), summing to GDP by the production approach.
surplus_value.empe_hs.r.pc;Trabalho abstrato dos empregados ponderado pela parcela de horas de alta qualificação, dividido pelo valor da força de trabalho ponderado pela parcela salarial correspondente, menos 1.;Employee abstract labour weighted by the high-skill hours share, divided by labour-force value weighted by the corresponding compensation share, minus 1.
