sector.source;productive
Agriculture;1
Fishing;1
Mining and Quarrying;1
Food & Beverages;1
Textiles and Wearing Apparel;1
Wood and Paper;1
Petroleum, Chemical and Non-Metallic Mineral Products;1
Metal Products;1
Electrical and Machinery;1
Transport Equipment;1
Other Manufacturing;1
Recycling;1
Electricity, Gas and Water;1
Construction;1
Maintenance and Repair;1
Wholesale Trade;0
Retail Trade;0
Hotels and Restraurants;0
Transport;1
Post and Telecommunications;0
Finacial Intermediation and Business Activities;0
Public Administration;0
Education, Health and Other Services;1
Private Households;0
Others;0
Re-export & Re-import;0
