sector.source;productive
Cultivation of paddy rice;1
Cultivation of wheat;1
Cultivation of cereal grains nec;1
Cultivation of vegetables, fruit, nuts;1
Cultivation of oil seeds;1
Cultivation of sugar cane, sugar beet;1
Cultivation of plant-based fibers;1
Cultivation of crops nec;1
Cattle farming;1
Pigs farming;1
Poultry farming;1
Meat animals nec;1
Animal products nec;1
Raw milk;1
Wool, silk-worm cocoons;1
Manure treatment (conventional), storage and land application;1
Manure treatment (biogas), storage and land application;1
Forestry, logging and related service activities (02);1
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)";1
"Mining of coal and lignite; extraction of peat (10)";1
Extraction of crude petroleum and services related to crude oil extraction, excluding surveying;1
Extraction of natural gas and services related to natural gas extraction, excluding surveying;1
Extraction, liquefaction, and regasification of other petroleum and gaseous materials;1
Mining of uranium and thorium ores (12);1
Mining of iron ores;1
Mining of copper ores and concentrates;1
Mining of nickel ores and concentrates;1
Mining of aluminium ores and concentrates;1
Mining of precious metal ores and concentrates;1
Mining of lead, zinc and tin ores and concentrates;1
Mining of other non-ferrous metal ores and concentrates;1
Quarrying of stone;1
Quarrying of sand and clay;1
Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.;1
Processing of meat cattle;1
Processing of meat pigs;1
Processing of meat poultry;1
Production of meat products nec;1
Processing vegetable oils and fats;1
Processing of dairy products;1
Processed rice;1
Sugar refining;1
Processing of Food products nec;1
Manufacture of beverages;1
Manufacture of fish products;1
Manufacture of tobacco products (16);1
Manufacture of textiles (17);1
"Manufacture of wearing apparel; dressing and dyeing of fur (18)";1
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)";1
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)";1
Re-processing of secondary wood material into new wood material;1
Pulp;1
Re-processing of secondary paper into new pulp;1
Paper;1
Publishing, printing and reproduction of recorded media (22);0
Manufacture of coke oven products;1
Petroleum Refinery;1
Processing of nuclear fuel;1
Plastics, basic;1
Re-processing of secondary plastic into new plastic;1
N-fertiliser;1
P- and other fertiliser;1
Chemicals nec;1
Manufacture of rubber and plastic products (25);1
Manufacture of glass and glass products;1
Re-processing of secondary glass into new glass;1
Manufacture of ceramic goods;1
Manufacture of bricks, tiles and construction products, in baked clay;1
Manufacture of cement, lime and plaster;1
Re-processing of ash into clinker;1
Manufacture of other non-metallic mineral products n.e.c.;1
Manufacture of basic iron and steel and of ferro-alloys and first products thereof;1
Re-processing of secondary steel into new steel;1
Precious metals production;1
Re-processing of secondary preciuos metals into new preciuos metals;1
Aluminium production;1
Re-processing of secondary aluminium into new aluminium;1
Lead, zinc and tin production;1
Re-processing of secondary lead into new lead, zinc and tin;1
Copper production;1
Re-processing of secondary copper into new copper;1
Other non-ferrous metal production;1
Re-processing of secondary other non-ferrous metals into new other non-ferrous metals;1
Casting of metals;1
Manufacture of fabricated metal products, except machinery and equipment (28);1
Manufacture of machinery and equipment n.e.c. (29);1
Manufacture of office machinery and computers (30);1
Manufacture of electrical machinery and apparatus n.e.c. (31);1
Manufacture of radio, television and communication equipment and apparatus (32);1
Manufacture of medical, precision and optical instruments, watches and clocks (33);1
Manufacture of motor vehicles, trailers and semi-trailers (34);1
Manufacture of other transport equipment (35);1
"Manufacture of furniture; manufacturing n.e.c. (36)";1
Recycling of waste and scrap;1
Recycling of bottles by direct reuse;1
Production of electricity by coal;1
Production of electricity by gas;1
Production of electricity by nuclear;1
Production of electricity by hydro;1
Production of electricity by wind;1
Production of electricity by petroleum and other oil derivatives;1
Production of electricity by biomass and waste;1
Production of electricity by solar photovoltaic;1
Production of electricity by solar thermal;1
Production of electricity by tide, wave, ocean;1
Production of electricity by Geothermal;1
Production of electricity nec;1
Transmission of electricity;1
Distribution and trade of electricity;1
"Manufacture of gas; distribution of gaseous fuels through mains";1
Steam and hot water supply;1
Collection, purification and distribution of water (41);1
Construction (45);1
Re-processing of secondary construction material into aggregates;1
Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries;0
Retail sale of automotive fuel;0
Wholesale trade and commission trade, except of motor vehicles and motorcycles (51);0
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)";0
Hotels and restaurants (55);1
Transport via railways;1
Other land transport;1
Transport via pipelines;1
Sea and coastal water transport;1
Inland water transport;1
Air transport (62);1
"Supporting and auxiliary transport activities; activities of travel agencies (63)";1
Post and telecommunications (64);0
Financial intermediation, except insurance and pension funding (65);0
Insurance and pension funding, except compulsory social security (66);0
Activities auxiliary to financial intermediation (67);0
Real estate activities (70);0
Renting of machinery and equipment without operator and of personal and household goods (71);0
Computer and related activities (72);0
Research and development (73);0
Other business activities (74);0
"Public administration and defence; compulsory social security (75)";0
Education (80);1
Health and social work (85);1
Incineration of waste: Food;1
Incineration of waste: Paper;1
Incineration of waste: Plastic;1
Incineration of waste: Metals and Inert materials;1
Incineration of waste: Textiles;1
Incineration of waste: Wood;1
Incineration of waste: Oil/Hazardous waste;1
Biogasification of food waste, incl. land application;1
Biogasification of paper, incl. land application;1
Biogasification of sewage slugde, incl. land application;1
Composting of food waste, incl. land application;1
Composting of paper and wood, incl. land application;1
Waste water treatment, food;1
Waste water treatment, other;1
Landfill of waste: Food;1
Landfill of waste: Paper;1
Landfill of waste: Plastic;1
Landfill of waste: Inert/metal/hazardous;1
Landfill of waste: Textiles;1
Landfill of waste: Wood;1
Activities of membership organisation n.e.c. (91);0
Recreational, cultural and sporting activities (92);1
Other service activities (93);1
Private households with employed persons (95);0
Extra-territorial organizations and bodies;0
