sector.source;sector;productive;wiod;euklems.capital;euklems.sector
A01;Crop and animal production, hunting and related service activities;1;1;K_Cult;A
A02;Forestry and logging;1;2;K_Cult;A
A03;Fishing and aquaculture;1;3;K_Cult;A
B;Mining and quarrying;1;4;K_OIPP;B
C10-C12;Manufacture of food products, beverages and tobacco products;1;5;K_OMach;C10-C12
C13-C15;Manufacture of textiles, wearing apparel and leather products;1;6;K_OMach;C13-C15
C16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";1;7;K_OMach;C16-C18
C17;Manufacture of paper and paper products;1;8;K_OMach;C16-C18
C18;Printing and reproduction of recorded media;1;9;K_OMach;C16-C18
C19;Manufacture of coke and refined petroleum products;1;10;K_OMach;C19
C20;Manufacture of chemicals and chemical products;1;11;K_OMach;C20
C21;Manufacture of basic pharmaceutical products and pharmaceutical preparations;1;12;K_OMach;C21
C22;Manufacture of rubber and plastic products;1;13;K_OMach;C22_C23
C23;Manufacture of other non-metallic mineral products;1;14;K_OMach;C22_C23
C24;Manufacture of basic metals;1;15;K_OMach;C24_C25
C25;Manufacture of fabricated metal products, except machinery and equipment;1;16;K_OMach;C24_C25
C26;Manufacture of computer, electronic and optical products;1;17;K_ITCT;C26
C27;Manufacture of electrical equipment;1;18;K_ITCT;C27
C28;Manufacture of machinery and equipment n.e.c.;1;19;K_OMach;C28
C29;Manufacture of motor vehicles, trailers and semi-trailers;1;20;K_TraEq;C29_C30
C30;Manufacture of other transport equipment;1;21;K_TraEq;C29_C30
C31_C32;"Manufacture of furniture; other manufacturing";1;22;K_OMach;C31-C33
C33;Repair and installation of machinery and equipment;1;23;K_OMach;C31-C33
D35;Electricity, gas, steam and air conditioning supply;1;24;K_OMach;D
E36;Water collection, treatment and supply;1;25;K_OMach;E
E37-E39;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services";1;26;K_OMach;E
F;Construction;1;27;K_RSOC;F
G45;Wholesale and retail trade and repair of motor vehicles and motorcycles;0;28;K_OIPP;G45
G46;Wholesale trade, except of motor vehicles and motorcycles;0;29;K_OIPP;G46
G47;Retail trade, except of motor vehicles and motorcycles;0;30;K_OIPP;G47
H49;Land transport and transport via pipelines;1;31;K_TraEq;H49
H50;Water transport;1;32;K_TraEq;H50
H51;Air transport;1;33;K_TraEq;H51
H52;Warehousing and support activities for transportation;1;34;K_TraEq;H52
H53;Postal and courier activities;1;35;K_SoftIPP;H53
I;Accommodation and food service activities;1;36;K_OCon;I
J58;Publishing activities;0;37;K_Soft_DB;J58-J60
J59_J60;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";0;38;K_OIPP;J58-J60
J61;Telecommunications;0;39;K_OIPP;J61
J62_J63;"Computer programming, consultancy and related activities; information service activities";1;40;K_Soft_DB;J62_J63
K64;Financial service activities, except insurance and pension funding;0;41;K_OIPP;K
K65;Insurance, reinsurance and pension funding, except compulsory social security;0;42;K_OIPP;K
K66;Activities auxiliary to financial services and insurance activities;0;43;K_OIPP;K
L68;Real estate activities;0;44;K_OCon;L
M69_M70;"Legal and accounting activities; activities of head offices; management consultancy activities";0;45;K_RDetc;M_N
M71;"Architectural and engineering activities; technical testing and analysis";1;46;K_RD;M_N
M72;Scientific research and development;0;47;K_RD;M_N
M73;Advertising and market research;0;48;K_OIPP;M_N
M74_M75;"Other professional, scientific and technical activities; veterinary activities";1;49;K_RDetc;M_N
N;Administrative and support service activities;0;50;K_RDetc;M_N
O84;"Public administration and defence; compulsory social security";0;51;K_OIPP;O
P85;Education;1;52;K_OIPP;P
Q;Human health and social work activities;1;53;K_OIPP;Q
R_S;Other service activities;1;54;K_OIPP;R_S
T;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";0;55;K_RSOC;T
U;Activities of extraterritorial organizations and bodies;0;56;K_OIPP;U
