sector.source;sector;wiod;productive;euklems.capital;euklems.sector
A01;Crop and animal production, hunting and related service activities;1;1;K_Cult;A
A02;Forestry and logging;2;1;K_Cult;A
A03;Fishing and aquaculture;3;1;K_Cult;A
B;Mining and quarrying;4;1;K_OIPP;B
C10-C12;Manufacture of food products, beverages and tobacco products;5;1;K_OMach;C10-C12
C13-C15;Manufacture of textiles, wearing apparel and leather products;6;1;K_OMach;C13-C15
C16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";7;1;K_OMach;C16-C18
C17;Manufacture of paper and paper products;8;1;K_OMach;C16-C18
C18;Printing and reproduction of recorded media;9;1;K_OMach;C16-C18
C19;Manufacture of coke and refined petroleum products;10;1;K_OMach;C19
C20;Manufacture of chemicals and chemical products;11;1;K_OMach;C20
C21;Manufacture of basic pharmaceutical products and pharmaceutical preparations;12;1;K_OMach;C21
C22;Manufacture of rubber and plastic products;13;1;K_OMach;C22_C23
C23;Manufacture of other non-metallic mineral products;14;1;K_OMach;C22_C23
C24;Manufacture of basic metals;15;1;K_OMach;C24_C25
C25;Manufacture of fabricated metal products, except machinery and equipment;16;1;K_OMach;C24_C25
C26;Manufacture of computer, electronic and optical products;17;1;K_ITCT;C26
C27;Manufacture of electrical equipment;18;1;K_ITCT;C27
C28;Manufacture of machinery and equipment n.e.c.;19;1;K_OMach;C28
C29;Manufacture of motor vehicles, trailers and semi-trailers;20;1;K_TraEq;C29_C30
C30;Manufacture of other transport equipment;21;1;K_TraEq;C29_C30
C31_C32;"Manufacture of furniture; other manufacturing";22;1;K_OMach;C31-C33
C33;Repair and installation of machinery and equipment;23;1;K_OMach;C31-C33
D35;Electricity, gas, steam and air conditioning supply;24;1;K_OMach;D
E36;Water collection, treatment and supply;25;1;K_OMach;E
E37-E39;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services";26;1;K_OMach;E
F;Construction;27;1;K_RSOC;F
G45;Wholesale and retail trade and repair of motor vehicles and motorcycles;28;0;K_OIPP;G45
G46;Wholesale trade, except of motor vehicles and motorcycles;29;0;K_OIPP;G46
G47;Retail trade, except of motor vehicles and motorcycles;30;0;K_OIPP;G47
H49;Land transport and transport via pipelines;31;1;K_TraEq;H49
H50;Water transport;32;1;K_TraEq;H50
H51;Air transport;33;1;K_TraEq;H51
H52;Warehousing and support activities for transportation;34;0;K_TraEq;H52
H53;Postal and courier activities;35;0;K_SoftIPP;H53
I;Accommodation and food service activities;36;1;K_OCon;I
J58;Publishing activities;37;0;K_Soft_DB;J58-J60
J59_J60;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";38;0;K_OIPP;J58-J60
J61;Telecommunications;39;0;K_OIPP;J61
J62_J63;"Computer programming, consultancy and related activities; information service activities";40;0;K_Soft_DB;J62_J63
K64;Financial service activities, except insurance and pension funding;41;0;K_OIPP;K
K65;Insurance, reinsurance and pension funding, except compulsory social security;42;0;K_OIPP;K
K66;Activities auxiliary to financial services and insurance activities;43;0;K_OIPP;K
L68;Real estate activities;44;0;K_OCon;L
M69_M70;"Legal and accounting activities; activities of head offices; management consultancy activities";45;0;K_RDetc;M_N
M71;"Architectural and engineering activities; technical testing and analysis";46;0;K_RD;M_N
M72;Scientific research and development;47;0;K_RD;M_N
M73;Advertising and market research;48;0;K_OIPP;M_N
M74_M75;"Other professional, scientific and technical activities; veterinary activities";49;0;K_RDetc;M_N
N;Administrative and support service activities;50;0;K_RDetc;M_N
O84;"Public administration and defence; compulsory social security";51;0;K_OIPP;O
P85;Education;52;1;K_OIPP;P
Q;Human health and social work activities;53;1;K_OIPP;Q
R_S;Other service activities;54;0;K_OIPP;R_S
T;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";55;0;K_RSOC;T
U;Activities of extraterritorial organizations and bodies;56;0;K_OIPP;U
