country;description;code;variable;versao;2009
BRA;Agriculture, Hunting, Forestry and Fishing;AtB;producao_bruta_pm;Ochoa 1;138263,0296
BRA;Mining and Quarrying;C;producao_bruta_pm;Ochoa 1;65330,67813
BRA;Food, Beverages and Tobacco;15t16;producao_bruta_pm;Ochoa 1;185216,4536
BRA;Textiles and Textile Products;17t18;producao_bruta_pm;Ochoa 1;40968,21287
BRA;Leather, Leather and Footwear;19;producao_bruta_pm;Ochoa 1;12122,96597
BRA;Wood and Products of Wood and Cork;20;producao_bruta_pm;Ochoa 1;9645,25759
BRA;Pulp, Paper, Paper , Printing and Publishing;21t22;producao_bruta_pm;Ochoa 1;41873,97182
BRA;Coke, Refined Petroleum and Nuclear Fuel;23;producao_bruta_pm;Ochoa 1;86299,17305
BRA;Chemicals and Chemical Products;24;producao_bruta_pm;Ochoa 1;98202,57625
BRA;Rubber and Plastics;25;producao_bruta_pm;Ochoa 1;30106,60752
BRA;Other Non-Metallic Mineral;26;producao_bruta_pm;Ochoa 1;26135,97231
BRA;Basic Metals and Fabricated Metal;27t28;producao_bruta_pm;Ochoa 1;84819,24994
BRA;Machinery, Nec;29;producao_bruta_pm;Ochoa 1;49760,72666
BRA;Electrical and Optical Equipment;30t33;producao_bruta_pm;Ochoa 1;54748,15257
BRA;Transport Equipment;34t35;producao_bruta_pm;Ochoa 1;105034,0294
BRA;"Manufacturing, Nec; Recycling";36t37;producao_bruta_pm;Ochoa 1;22202,84782
BRA;Electricity, Gas and Water Supply;E;producao_bruta_pm;Ochoa 1;85358,90422
BRA;Construction;F;producao_bruta_pm;Ochoa 1;142687,2945
BRA;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";50;producao_bruta_pm;Ochoa 1;27065,39624
BRA;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;51;producao_bruta_pm;Ochoa 1;88106,77578
BRA;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";52;producao_bruta_pm;Ochoa 1;131506,848
BRA;Hotels and Restaurants;H;producao_bruta_pm;Ochoa 1;60774,37547
BRA;Inland Transport;60;producao_bruta_pm;Ochoa 1;80266,19821
BRA;Water Transport;61;producao_bruta_pm;Ochoa 1;4512,58068
BRA;Air Transport;62;producao_bruta_pm;Ochoa 1;7206,20675
BRA;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";63;producao_bruta_pm;Ochoa 1;38052,40658
BRA;Post and Telecommunications;64;producao_bruta_pm;Ochoa 1;65022,62521
BRA;Financial Intermediation;J;producao_bruta_pm;Ochoa 1;155511,4609
BRA;Real Estate Activities;70;producao_bruta_pm;Ochoa 1;126895,2795
BRA;Renting of M&Eq and Other Business Activities;71t74;producao_bruta_pm;Ochoa 1;165345,163
BRA;"Public Admin and Defence; Compulsory Social Security";L;producao_bruta_pm;Ochoa 1;220706,6003
BRA;Education;M;producao_bruta_pm;Ochoa 1;98583,18506
BRA;Health and Social Work;N;producao_bruta_pm;Ochoa 1;98360,62143
BRA;Other Community, Social and Personal Services;O;producao_bruta_pm;Ochoa 1;94462,37411
BRA;Private Households with Employed Persons;P;producao_bruta_pm;Ochoa 1;0
JPN;Agriculture, Hunting, Forestry and Fishing;AtB;producao_bruta_pm;Ochoa 1;132435,2125
