"country";"description";"code";"variable";"versao";"2009"
"AUS";"Agriculture, Hunting, Forestry and Fishing";"AtB";"producao_bruta_pm";"July14_1020";44735,9601
"AUS";"Mining and Quarrying";"C";"producao_bruta_pm";"July14_1020";153054,40147
"AUS";"Food, Beverages and Tobacco";"15t16";"producao_bruta_pm";"July14_1020";64824,5009
"AUS";"Textiles and Textile Products";"17t18";"producao_bruta_pm";"July14_1020";5668,24148
"AUS";"Leather, Leather and Footwear";"19";"producao_bruta_pm";"July14_1020";1461,75118
"AUS";"Wood and Products of Wood and Cork";"20";"producao_bruta_pm";"July14_1020";9165,05362
"AUS";"Pulp, Paper, Paper , Printing and Publishing";"21t22";"producao_bruta_pm";"July14_1020";26163,62265
"AUS";"Coke, Refined Petroleum and Nuclear Fuel";"23";"producao_bruta_pm";"July14_1020";18346,55461
"AUS";"Chemicals and Chemical Products";"24";"producao_bruta_pm";"July14_1020";22862,13239
"AUS";"Rubber and Plastics";"25";"producao_bruta_pm";"July14_1020";9594,10343
"AUS";"Other Non-Metallic Mineral";"26";"producao_bruta_pm";"July14_1020";13055,74466
"AUS";"Basic Metals and Fabricated Metal";"27t28";"producao_bruta_pm";"July14_1020";76473,76299
"AUS";"Machinery, Nec";"29";"producao_bruta_pm";"July14_1020";16180,7324
"AUS";"Electrical and Optical Equipment";"30t33";"producao_bruta_pm";"July14_1020";9607,75343
"AUS";"Transport Equipment";"34t35";"producao_bruta_pm";"July14_1020";28296,00145
"AUS";"Manufacturing, Nec; Recycling";"36t37";"producao_bruta_pm";"July14_1020";11687,62874
"AUS";"Electricity, Gas and Water Supply";"E";"producao_bruta_pm";"July14_1020";41888,01375
"AUS";"Construction";"F";"producao_bruta_pm";"July14_1020";243654,64079
"AUS";"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";"50";"producao_bruta_pm";"July14_1020";53881,60745
"AUS";"Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles";"51";"producao_bruta_pm";"July14_1020";94790,90489
"AUS";"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";"52";"producao_bruta_pm";"July14_1020";77873,82085
"AUS";"Hotels and Restaurants";"H";"producao_bruta_pm";"July14_1020";42553,60551
"AUS";"Inland Transport";"60";"producao_bruta_pm";"July14_1020";40806,50829
"AUS";"Water Transport";"61";"producao_bruta_pm";"July14_1020";2457,08776
"AUS";"Air Transport";"62";"producao_bruta_pm";"July14_1020";14057,77816
"AUS";"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";"63";"producao_bruta_pm";"July14_1020";32131,557
"AUS";"Post and Telecommunications";"64";"producao_bruta_pm";"July14_1020";43340,10604
