code;K_GFCF;K_IT;K_CT;K_Soft_DB;K_TraEq;K_OMach;K_OCon;K_RStruc;K_OIPP;K_Cult;K_RD
TOT;;0,315;0,115;0,315;0,189;0,131;0,032;0,011;0,131;0,2;0,2
TOT_IND;;0,315;0,115;0,315;0,191;0,129;0,031;0,011;0,129;0,201;0,2
MARKT;;0,315;0,115;0,315;0,185;0,126;0,034;0,011;0,126;0,193;0,2
A;;0,315;0,115;0,315;0,17;0,129;0,024;0,011;0,129;0,151;0,2
B;;0,315;0,115;0,315;0,17;0,129;0,024;0,011;0,129;0,207;0,2
C;;0,315;0,115;0,315;0,174;0,108;0,033;0,011;0,108;0,207;0,2
C10-C12;;0,315;0,115;0,315;0,168;0,109;0,033;0,011;0,109;0,207;0,2
C13-C15;;0,315;0,115;0,315;0,184;0,109;0,033;0,011;0,109;0,207;0,2
C16-C18;;0,315;0,115;0,315;0,173;0,106;0,033;0,011;0,106;0,207;0,2
C19;;0,315;0,115;0,315;0,154;0,11;0,032;0,011;0,11;0,207;0,2
C20;;0,315;0,115;0,315;0,181;0,104;0,033;0,011;0,104;0,207;0,2
C21;;0,315;0,115;0,315;0,181;0,104;0,033;0,011;0,104;0,207;0,2
C22_C23;;0,315;0,115;0,315;0,191;0,112;0,033;0,011;0,112;0,207;0,2
C24_C25;;0,315;0,115;0,315;0,166;0,108;0,033;0,011;0,108;0,207;0,2
C26;;0,315;0,115;0,315;0,166;0,108;0,033;0,011;0,108;0,207;0,2
C27;;0,315;0,115;0,315;0,166;0,108;0,033;0,011;0,108;0,207;0,2
C28;;0,315;0,115;0,315;0,17;0,107;0,033;0,011;0,107;0,207;0,2
C29_C30;;0,315;0,115;0,315;0,167;0,109;0,033;0,011;0,109;0,207;0,2
C31-C33;;0,315;0,115;0,315;0,193;0,113;0,033;0,011;0,113;0,207;0,2
D;;0,315;0,115;0,315;0,191;0,094;0,023;0,011;0,094;0,207;0,2
E;;0,315;0,115;0,315;0,191;0,094;0,023;0,011;0,094;0,207;0,2
F;;0,315;0,115;0,315;0,195;0,139;0,034;0,011;0,139;0,195;0,2
G;;0,315;0,115;0,315;0,216;0,134;0,03;0,011;0,134;0,188;0,2
G45;;0,315;0,115;0,315;0,229;0,121;0,031;0,011;0,121;0,188;0,2
G46;;0,315;0,115;0,315;0,204;0,143;0,031;0,011;0,143;0,188;0,2
G47;;0,315;0,115;0,315;0,215;0,137;0,027;0,011;0,137;0,188;0,2
H;;0,315;0,115;0,315;0,114;0,114;0,028;0,011;0,114;0,188;0,2
H49;;0,315;0,115;0,315;0,092;0,118;0,028;0,011;0,118;0,188;0,2
H50;;0,315;0,115;0,315;0,092;0,118;0,028;0,011;0,118;0,188;0,2
H51;;0,315;0,115;0,315;0,092;0,118;0,028;0,011;0,118;0,188;0,2
H52;;0,315;0,115;0,315;0,092;0,118;0,028;0,011;0,118;0,188;0,2
H53;;0,315;0,115;0,315;0,201;0,096;0,027;0,011;0,096;0,188;0,2
I;;0,315;0,115;0,315;0,203;0,14;0,028;0,011;0,14;0,188;0,2
J;;0,315;0,115;0,315;0,176;0,115;0,035;0,011;0,115;0,214;0,2
J58-J60;;0,315;0,115;0,315;0,173;0,106;0,033;0,011;0,106;0,214;0,2
J61;;0,315;0,115;0,315;0,201;0,096;0,027;0,011;0,096;0,214;0,2
J62_J63;;0,315;0,115;0,315;0,155;0,144;0,044;0,011;0,144;0,214;0,2
K;;0,315;0,115;0,315;0,187;0,149;0,044;0,011;0,149;0,16;0,2
L;;0,315;0,115;0,315;0,227;0,147;0,027;0,011;0,147;0,218;0,2
M_N;;0,315;0,115;0,315;0,155;0,144;0,044;0,011;0,144;0,215;0,2
O-Q;;0,315;0,115;0,315;0,202;0,14;0,035;0,011;0,14;0,207;0,2
O;;0,315;0,115;0,315;0,173;0,138;0,025;0,011;0,138;0,235;0,2
P;;0,315;0,115;0,315;0,173;0,138;0,025;0,011;0,138;0,235;0,2
Q;;0,315;0,115;0,315;0,225;0,149;0,027;0,011;0,149;0,235;0,2
R_S;;0,315;0,115;0,315;0,223;0,136;0,051;0,011;0,136;0,186;0,2
R;;0,315;0,115;0,315;0,223;0,136;0,051;0,011;0,136;0,186;0,2
S;;0,315;0,115;0,315;0,223;0,136;0,051;0,011;0,136;0,186;0,2
T;;0,315;0,115;0,315;0,198;0,14;0,032;0,011;0,14;0,186;0,2
U;;0,315;0,115;0,315;0,198;0,14;0,032;0,011;0,14;0,186;0,2
