;Países;Código;Legenda;euklems.paises
1;Austrália;1;AUS;
2;Áustria;2;AUT;AT
3;Bélgica;3;BEL;BE
4;Bulgária;4;BGR;BG
5;Brasil;5;BRA;
6;Canadá;6;CAN;
7;China;7;CHN;
8;Chipre;8;CYP;CY
9;Tchéquia;9;CZE;CZ
10;Alemanha;10;DEU;DE
11;Dinamarca;11;DNK;DK
12;Espanha;12;ESP;ES
13;Estônia;13;EST;EE
14;Finlândia;14;FIN;FI
15;França;15;FRA;FR
16;Reino Unido;16;GBR;UK
17;Grécia;17;GRC;EL
18;Hungria;18;HUN;HU
19;Indonésia;19;IDN;
20;Índia;20;IND;
21;Irlanda;21;IRL;IE
22;Itália;22;ITA;IT
23;Japão;23;JPN;JP
24;Coreia do Sul;24;KOR;
25;Lituânia;25;LTU;LT
26;Luxemburgo;26;LUX;LU
27;Letônia;27;LVA;LV
28;México;28;MEX;
29;Malta;29;MLT;MT
30;Países Baixos;30;NLD;NL
31;Polônia;31;POL;PL
32;Portugal;32;PRT;PT
33;Romênia;33;ROU;RO
34;Federação Russa;34;RUS;
35;Eslováquia;35;SVK;SK
36;Eslovênia;36;SVN;SI
37;Suécia;37;SWE;SE
38;Turquia;38;TUR;
39;Taiwan;39;TWN;
40;Estados Unidos;40;USA;US
41;Mundo;41;ROW;
