;Países;Código;Legenda
1;Australia;1;AUS
2;Austria;2;AUT
3;Belgium;3;BEL
4;Bulgaria;4;BGR
5;Brazil;5;BRA
6;Canada;6;CAN
7;Switzerland;7;CHE
8;China, People's Republic of;8;CHN
9;Cyprus;9;CYP
10;Czech Republic;10;CZE
11;Germany;11;DEU
12;Denmark;12;DNK
13;Spain;13;ESP
14;Estonia;14;EST
15;Finland;15;FIN
16;France;16;FRA
17;United Kingdom of Great Britain and Northern Ireland;17;GBR
18;Greece;18;GRC
19;Croatia;19;HRV
20;Hungary;20;HUN
21;Indonesia;21;IDN
22;India;22;IND
23;Ireland;23;IRL
24;Italy;24;ITA
25;Japan;25;JPN
26;Republic of Korea;26;KOR
27;Lithuania;27;LTU
28;Luxembourg;28;LUX
29;Latvia;29;LVA
30;Mexico;30;MEX
31;Malta;31;MLT
32;Netherlands;32;NLD
33;Norway;33;NOR
34;Poland;34;POL
35;Portugal;35;PRT
36;Romania;36;ROU
37;Russian Federation;37;RUS
38;Slovakia;38;SVK
39;Slovenia;39;SVN
40;Sweden;40;SWE
41;Turkey;41;TUR
42;Taiwan;42;TWN
43;United States;43;USA
44;Rest of World;44;ROW
