Code;Setor;WIOD;produtivo
A01;Crop and animal production, hunting and related service activities;1;1
A02;Forestry and logging;2;1
A03;Fishing and aquaculture;3;1
B;Mining and quarrying;4;1
C10-C12;Manufacture of food products, beverages and tobacco products;5;1
C13-C15;Manufacture of textiles, wearing apparel and leather products;6;1
C16;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";7;1
C17;Manufacture of paper and paper products;8;1
C18;Printing and reproduction of recorded media;9;1
C19;Manufacture of coke and refined petroleum products ;10;1
C20;Manufacture of chemicals and chemical products ;11;1
C21;Manufacture of basic pharmaceutical products and pharmaceutical preparations;12;1
C22;Manufacture of rubber and plastic products;13;1
C23;Manufacture of other non-metallic mineral products;14;1
C24;Manufacture of basic metals;15;1
C25;Manufacture of fabricated metal products, except machinery and equipment;16;1
C26;Manufacture of computer, electronic and optical products;17;1
C27;Manufacture of electrical equipment;18;1
C28;Manufacture of machinery and equipment n.e.c.;19;1
C29;Manufacture of motor vehicles, trailers and semi-trailers;20;1
C30;Manufacture of other transport equipment;21;1
C31_C32;"Manufacture of furniture; other manufacturing";22;1
C33;Repair and installation of machinery and equipment;23;1
D35;Electricity, gas, steam and air conditioning supply;24;1
E36;Water collection, treatment and supply;25;1
E37-E39;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";26;1
F;Construction;27;1
G45;Wholesale and retail trade and repair of motor vehicles and motorcycles;28;0
G46;Wholesale trade, except of motor vehicles and motorcycles;29;0
G47;Retail trade, except of motor vehicles and motorcycles;30;0
H49;Land transport and transport via pipelines;31;1
H50;Water transport;32;1
H51;Air transport;33;1
H52;Warehousing and support activities for transportation;34;0
H53;Postal and courier activities;35;0
I;Accommodation and food service activities;36;0
J58;Publishing activities;37;0
J59_J60;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";38;0
J61;Telecommunications;39;0
J62_J63;"Computer programming, consultancy and related activities; information service activities";40;0
K64;Financial service activities, except insurance and pension funding;41;0
K65;Insurance, reinsurance and pension funding, except compulsory social security;42;0
K66;Activities auxiliary to financial services and insurance activities;43;0
L68;Real estate activities;44;0
M69_M70;"Legal and accounting activities; activities of head offices; management consultancy activities";45;0
M71;"Architectural and engineering activities; technical testing and analysis";46;0
M72;Scientific research and development;47;0
M73;Advertising and market research;48;0
M74_M75;"Other professional, scientific and technical activities; veterinary activities";49;0
N;Administrative and support service activities;50;0
O84;"Public administration and defence; compulsory social security";51;0
P85;Education;52;1
Q;Human health and social work activities;53;1
R_S;Other service activities;54;0
T;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";55;0
U;Activities of extraterritorial organizations and bodies;56;0
