"";"Países";"Código"
"1";"Austrália";1
"2";"Áustria";2
"3";"Bélgica";3
"4";"Bulgária";4
"5";"Brasil";5
"6";"Canadá";6
"7";"China";7
"8";"Chipre";8
"9";"Tchéquia";9
"10";"Alemanha";10
"11";"Dinamarca";11
"12";"Espanha";12
"13";"Estônia";13
"14";"Finlândia";14
"15";"França";15
"16";"Reino Unido";16
"17";"Grécia";17
"18";"Hungria";18
"19";"Indonésia";19
"20";"Índia";20
"21";"Irlanda";21
"22";"Itália";22
"23";"Japão";23
"24";"Coreia do Sul";24
"25";"Lituânia";25
"26";"Luxemburgo";26
"27";"Letônia";27
"28";"México";28
"29";"Malta";29
"30";"Países Baixos";30
"31";"Polônia";31
"32";"Portugal";32
"33";"Romênia";33
"34";"Federação Russa";34
"35";"Eslováquia";35
"36";"Eslovênia";36
"37";"Suécia";37
"38";"Turquia";38
"39";"Taiwan";39
"40";"Estados Unidos";40
"41";"Mundo";41
