Code;Setor;WIOD;produtivo
AtB;Agriculture, Hunting, Forestry and Fishing;c1;1
C;Mining and Quarrying;c2;1
15t16;Food, Beverages and Tobacco;c3;1
17t18;Textiles and Textile Products;c4;1
19;Leather, Leather and Footwear;c5;1
20;Wood and Products of Wood and Cork;c6;1
21t22;Pulp, Paper, Paper , Printing and Publishing;c7;1
23;Coke, Refined Petroleum and Nuclear Fuel;c8;1
24;Chemicals and Chemical Products;c9;1
25;Rubber and Plastics;c10;1
26;Other Non-Metallic Mineral;c11;1
27t28;Basic Metals and Fabricated Metal;c12;1
29;Machinery, Nec;c13;1
30t33;Electrical and Optical Equipment;c14;1
34t35;Transport Equipment;c15;1
36t37;"Manufacturing, Nec; Recycling";c16;1
E;Electricity, Gas and Water Supply;c17;1
F;Construction;c18;1
50;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";c19;0
51;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;c20;0
52;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";c21;0
H;Hotels and Restaurants;c22;0
60;Inland Transport;c23;1
61;Water Transport;c24;1
62;Air Transport;c25;1
63;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";c26;0
64;Post and Telecommunications;c27;0
J;Financial Intermediation;c28;0
70;Real Estate Activities;c29;0
71t74;Renting of M&Eq and Other Business Activities;c30;0
L;"Public Admin and Defence; Compulsory Social Security";c31;0
M;Education;c32;1
N;Health and Social Work;c33;1
O;Other Community, Social and Personal Services;c34;0
P;Private Households with Employed Persons;c35;0
