wiod;capital;setor
AtB;cult;A
C;oipp;B
15t16;omach;C10-C12
17t18;omach;C13-C15
19;omach;C13-C15
20;omach;C16-C18
21t22;omach;C16-C18
23;omach;C19
24;omach;C20_C21
25;omach;C22_C23
26;omach;C31-C33
27t28;omach;C24_C25
29;omach;C28
30t33;itct;C26_C27
34t35;traeq;C29_C30
36t37;omach;C31-C33
E;omach;D_E
F;rsoc;F
50;oipp;G45
51;oipp;G46
52;oipp;G47
H;Ocon;I
60;traeq;J49
61;traeq;J50
62;traeq;J51
63;traeq;J52
64;softipp; H53-J63
J;oipp;K
70;ocon;L
71t74;rdetc;M_N
L;oipp;O
M;oipp;P
N;oipp;Q
O;oipp;R_S_U
P;rsoc;T
